arch_seed,logical_two_qubit,model,representation,runtime_s,swap_est,train_size,transpiled_depth,transpiled_two_qubit
5000,8,M5_frozen,R1_raw21,40.58,5,5000,38,32
5001,0,M3_product,R1_raw21,24.69,0,5000,4,0
5001,4,M4_entangled,R1_raw21,20.84,1,5000,18,12
5001,4,M5_frozen,R1_raw21,24.89,1,5000,18,12
5002,0,M3_product,R1_raw21,14.31,0,5000,4,0
5002,4,M4_entangled,R1_raw21,30.71,2,5000,20,14
5002,4,M5_frozen,R1_raw21,19.42,2,5000,20,14
5003,0,M3_product,R1_raw21,28.35,0,5000,4,0
5003,4,M4_entangled,R1_raw21,18.3,1,5000,17,12
5003,4,M5_frozen,R1_raw21,15.45,1,5000,17,12
5004,0,M3_product,R1_raw21,11.18,0,5000,4,0
5004,4,M4_entangled,R1_raw21,21.99,1,5000,17,12
5004,4,M5_frozen,R1_raw21,23.37,1,5000,17,12
5000,0,M3_product,R1_raw21,107.74,0,10000,4,0
5000,8,M4_entangled,R1_raw21,165.43,5,10000,38,32
5000,8,M5_frozen,R1_raw21,57.22,5,10000,38,32
5001,0,M3_product,R1_raw21,30.71,0,10000,4,0
5001,4,M4_entangled,R1_raw21,157.31,1,10000,18,12
5001,4,M5_frozen,R1_raw21,61.06,1,10000,18,12
5002,0,M3_product,R1_raw21,49.29,0,10000,4,0
5002,4,M4_entangled,R1_raw21,70.19,2,10000,20,14
5002,4,M5_frozen,R1_raw21,105.71,2,10000,20,14
5003,0,M3_product,R1_raw21,30.52,0,10000,4,0
5003,4,M4_entangled,R1_raw21,61.44,1,10000,17,12
5003,4,M5_frozen,R1_raw21,31.14,1,10000,17,12
5004,0,M3_product,R1_raw21,115.42,0,10000,4,0
5004,4,M4_entangled,R1_raw21,142.81,1,10000,17,12
5004,4,M5_frozen,R1_raw21,31.96,1,10000,17,12
5000,0,M3_product,R1_raw21,2.3,0,500,4,0
5000,8,M4_entangled,R1_raw21,2.28,5,500,38,32
5000,8,M5_frozen,R1_raw21,2.07,5,500,38,32
5001,0,M3_product,R1_raw21,2.88,0,500,4,0
5001,4,M4_entangled,R1_raw21,4.35,1,500,18,12
5001,4,M5_frozen,R1_raw21,3.55,1,500,18,12
5002,0,M3_product,R1_raw21,2.02,0,500,4,0
5002,4,M4_entangled,R1_raw21,2.55,2,500,20,14
5002,4,M5_frozen,R1_raw21,2.73,2,500,20,14
5003,0,M3_product,R1_raw21,2.29,0,500,4,0
5003,4,M4_entangled,R1_raw21,2.43,1,500,17,12
5003,4,M5_frozen,R1_raw21,2.15,1,500,17,12
5004,0,M3_product,R1_raw21,1.81,0,500,4,0
5004,4,M4_entangled,R1_raw21,3.92,1,500,17,12
5004,4,M5_frozen,R1_raw21,2.5,1,500,17,12
5000,0,M3_product,R1_raw21,13.66,0,2000,4,0
5000,8,M4_entangled,R1_raw21,11.28,5,2000,38,32
5000,8,M5_frozen,R1_raw21,8.65,5,2000,38,32
5001,0,M3_product,R1_raw21,11.43,0,2000,4,0
5001,4,M4_entangled,R1_raw21,16.91,1,2000,18,12
5001,4,M5_frozen,R1_raw21,12.89,1,2000,18,12
5002,0,M3_product,R1_raw21,7.73,0,2000,4,0
5002,4,M4_entangled,R1_raw21,10.6,2,2000,20,14
5002,4,M5_frozen,R1_raw21,8.5,2,2000,20,14
5003,0,M3_product,R1_raw21,9.16,0,2000,4,0
5003,4,M4_entangled,R1_raw21,18.71,1,2000,17,12
5003,4,M5_frozen,R1_raw21,30.74,1,2000,17,12
5004,0,M3_product,R1_raw21,7.63,0,2000,4,0
5004,4,M4_entangled,R1_raw21,9.66,1,2000,17,12
5004,4,M5_frozen,R1_raw21,6.45,1,2000,17,12
5000,0,M3_product,R1_raw21,27.22,0,5000,4,0
5000,8,M4_entangled,R1_raw21,33.65,5,5000,38,32
5000,8,M5_frozen,R1_raw21,37.01,5,5000,38,32
5001,0,M3_product,R1_raw21,30.35,0,5000,4,0
5001,4,M4_entangled,R1_raw21,23.98,1,5000,18,12
5001,4,M5_frozen,R1_raw21,79.44,1,5000,18,12
5002,0,M3_product,R1_raw21,22.81,0,5000,4,0
5002,4,M4_entangled,R1_raw21,25.11,2,5000,20,14
5002,4,M5_frozen,R1_raw21,21.81,2,5000,20,14
5003,0,M3_product,R1_raw21,30.12,0,5000,4,0
5003,4,M4_entangled,R1_raw21,52.16,1,5000,17,12
5003,4,M5_frozen,R1_raw21,72.14,1,5000,17,12
5004,0,M3_product,R1_raw21,28.7,0,5000,4,0
5004,4,M4_entangled,R1_raw21,38.96,1,5000,17,12
5004,4,M5_frozen,R1_raw21,30.86,1,5000,17,12
5000,0,M3_product,R1_raw21,48.03,0,10000,4,0
5000,8,M4_entangled,R1_raw21,82.37,5,10000,38,32
5000,8,M5_frozen,R1_raw21,96.27,5,10000,38,32
5001,0,M3_product,R1_raw21,150.34,0,10000,4,0
5001,4,M4_entangled,R1_raw21,179.11,1,10000,18,12
5001,4,M5_frozen,R1_raw21,146.4,1,10000,18,12
5002,0,M3_product,R1_raw21,141.83,0,10000,4,0
5002,4,M4_entangled,R1_raw21,158.62,2,10000,20,14
5002,4,M5_frozen,R1_raw21,51.09,2,10000,20,14
5003,0,M3_product,R1_raw21,90.8,0,10000,4,0
5003,4,M4_entangled,R1_raw21,66.57,1,10000,17,12
5003,4,M5_frozen,R1_raw21,118.12,1,10000,17,12
5004,0,M3_product,R1_raw21,60.46,0,10000,4,0
5004,4,M4_entangled,R1_raw21,45.29,1,10000,17,12
5004,4,M5_frozen,R1_raw21,57.31,1,10000,17,12
5000,0,M3_product,R2_pca8,7.59,0,500,4,0
5000,8,M4_entangled,R2_pca8,2.13,5,500,38,32
5000,8,M5_frozen,R2_pca8,2.82,5,500,38,32
5001,0,M3_product,R2_pca8,4.22,0,500,4,0
5001,4,M4_entangled,R2_pca8,10.85,1,500,18,12
5001,4,M5_frozen,R2_pca8,9.53,1,500,18,12
5002,0,M3_product,R2_pca8,2.56,0,500,4,0
5002,4,M4_entangled,R2_pca8,2.98,2,500,20,14
5002,4,M5_frozen,R2_pca8,3.44,2,500,20,14
5003,0,M3_product,R2_pca8,3.11,0,500,4,0
5003,4,M4_entangled,R2_pca8,3.5,1,500,17,12
5003,4,M5_frozen,R2_pca8,4.29,1,500,17,12
5004,0,M3_product,R2_pca8,2.35,0,500,4,0
5004,4,M4_entangled,R2_pca8,3.37,1,500,17,12
5004,4,M5_frozen,R2_pca8,4.47,1,500,17,12
5000,0,M3_product,R2_pca8,16.95,0,2000,4,0
5000,8,M4_entangled,R2_pca8,35.73,5,2000,38,32
5000,8,M5_frozen,R2_pca8,27.51,5,2000,38,32
5001,0,M3_product,R2_pca8,36.27,0,2000,4,0
5001,4,M4_entangled,R2_pca8,25.21,1,2000,18,12
5001,4,M5_frozen,R2_pca8,33.63,1,2000,18,12
5002,0,M3_product,R2_pca8,36.11,0,2000,4,0
5002,4,M4_entangled,R2_pca8,36.37,2,2000,20,14
5002,4,M5_frozen,R2_pca8,29.27,2,2000,20,14
5003,0,M3_product,R2_pca8,30.1,0,2000,4,0
5003,4,M4_entangled,R2_pca8,28.66,1,2000,17,12
5003,4,M5_frozen,R2_pca8,24.0,1,2000,17,12
5004,0,M3_product,R2_pca8,26.64,0,2000,4,0
5004,4,M4_entangled,R2_pca8,10.94,1,2000,17,12
5004,4,M5_frozen,R2_pca8,10.44,1,2000,17,12
5000,0,M3_product,R2_pca8,30.13,0,5000,4,0
5000,8,M4_entangled,R2_pca8,67.32,5,5000,38,32
5000,8,M5_frozen,R2_pca8,28.25,5,5000,38,32
5001,0,M3_product,R2_pca8,30.86,0,5000,4,0
5001,4,M4_entangled,R2_pca8,20.82,1,5000,18,12
5001,4,M5_frozen,R2_pca8,17.11,1,5000,18,12
5002,0,M3_product,R2_pca8,63.15,0,5000,4,0
5002,4,M4_entangled,R2_pca8,23.19,2,5000,20,14
5002,4,M5_frozen,R2_pca8,30.25,2,5000,20,14
5003,0,M3_product,R2_pca8,33.23,0,5000,4,0
5003,4,M4_entangled,R2_pca8,29.21,1,5000,17,12
5003,4,M5_frozen,R2_pca8,44.41,1,5000,17,12
5004,0,M3_product,R2_pca8,64.86,0,5000,4,0
5004,4,M4_entangled,R2_pca8,22.84,1,5000,17,12
5004,4,M5_frozen,R2_pca8,35.14,1,5000,17,12
5000,0,M3_product,R2_pca8,54.13,0,10000,4,0
5000,8,M4_entangled,R2_pca8,148.59,5,10000,38,32
5000,8,M5_frozen,R2_pca8,61.86,5,10000,38,32
5001,0,M3_product,R2_pca8,148.98,0,10000,4,0
5001,4,M4_entangled,R2_pca8,182.67,1,10000,18,12
5001,4,M5_frozen,R2_pca8,152.4,1,10000,18,12
5002,0,M3_product,R2_pca8,43.79,0,10000,4,0
5002,4,M4_entangled,R2_pca8,164.93,2,10000,20,14
5002,4,M5_frozen,R2_pca8,127.9,2,10000,20,14
5003,0,M3_product,R2_pca8,58.69,0,10000,4,0
5003,4,M4_entangled,R2_pca8,64.45,1,10000,17,12
5003,4,M5_frozen,R2_pca8,53.74,1,10000,17,12
5004,0,M3_product,R2_pca8,79.76,0,10000,4,0
5004,4,M4_entangled,R2_pca8,54.34,1,10000,17,12
5004,4,M5_frozen,R2_pca8,112.67,1,10000,17,12
5000,0,M3_product,R2_pca8,6.9,0,500,4,0
5000,8,M4_entangled,R2_pca8,2.48,5,500,38,32
5000,8,M5_frozen,R2_pca8,2.06,5,500,38,32
5001,0,M3_product,R2_pca8,3.88,0,500,4,0
5001,4,M4_entangled,R2_pca8,1.68,1,500,18,12
5001,4,M5_frozen,R2_pca8,1.6,1,500,18,12
5002,0,M3_product,R2_pca8,1.32,0,500,4,0
5002,4,M4_entangled,R2_pca8,3.31,2,500,20,14
5002,4,M5_frozen,R2_pca8,2.98,2,500,20,14
5003,0,M3_product,R2_pca8,1.22,0,500,4,0
5003,4,M4_entangled,R2_pca8,1.95,1,500,17,12
5003,4,M5_frozen,R2_pca8,1.64,1,500,17,12
5004,0,M3_product,R2_pca8,2.27,0,500,4,0
5004,4,M4_entangled,R2_pca8,2.0,1,500,17,12
5004,4,M5_frozen,R2_pca8,1.85,1,500,17,12
5000,0,M3_product,R2_pca8,12.37,0,2000,4,0
5000,8,M4_entangled,R2_pca8,28.55,5,2000,38,32
5000,8,M5_frozen,R2_pca8,24.4,5,2000,38,32
5001,0,M3_product,R2_pca8,19.35,0,2000,4,0
5001,4,M4_entangled,R2_pca8,15.61,1,2000,18,12
5001,4,M5_frozen,R2_pca8,14.68,1,2000,18,12
5002,0,M3_product,R2_pca8,10.89,0,2000,4,0
5002,4,M4_entangled,R2_pca8,12.07,2,2000,20,14
5002,4,M5_frozen,R2_pca8,14.66,2,2000,20,14
5003,0,M3_product,R2_pca8,29.65,0,2000,4,0
5003,4,M4_entangled,R2_pca8,30.56,1,2000,17,12
5003,4,M5_frozen,R2_pca8,22.7,1,2000,17,12
5004,0,M3_product,R2_pca8,5.86,0,2000,4,0
5004,4,M4_entangled,R2_pca8,31.91,1,2000,17,12
5004,4,M5_frozen,R2_pca8,28.25,1,2000,17,12
5000,0,M3_product,R2_pca8,78.43,0,5000,4,0
5000,8,M4_entangled,R2_pca8,82.57,5,5000,38,32
5000,8,M5_frozen,R2_pca8,21.55,5,5000,38,32
5001,0,M3_product,R2_pca8,25.1,0,5000,4,0
5001,4,M4_entangled,R2_pca8,28.28,1,5000,18,12
5001,4,M5_frozen,R2_pca8,64.74,1,5000,18,12
5002,0,M3_product,R2_pca8,33.45,0,5000,4,0
