arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
5002,4,88,17,False,12,5,21,4,M5_frozen,True,12,R1_raw21,21.81,2,0.6017010143810991,0.5629590395480226,0.24076927649415902,0.4324,0.028412870001529433,0.6738725238472152,105,93,5000,20,14,0.6246378643425783,0.5921128659476117,0.23674969286636863,0.4035,0.010758796499854124,0.6656693369631794
5003,4,88,19,False,0,5,21,0,M3_product,False,12,R1_raw21,30.12,0,0.6075457434514637,0.5685509758602979,0.24069210708204086,0.425,0.024181749721638075,0.6740687724870639,105,105,5000,4,0,0.6175375979070366,0.5687435798664613,0.23789801667739846,0.4245,0.025277899839767443,0.6680969700510716
5003,4,88,31,False,0,5,21,4,M4_entangled,False,12,R1_raw21,52.16,1,0.6051035246533129,0.5660471237801746,0.241061990847972,0.4294,0.034426266180672134,0.674861134669025,105,105,5000,17,12,0.6369946151129944,0.5838068181818181,0.2347469988251474,0.4115,0.021739476208799596,0.6616630031531138
5003,4,88,50,False,12,5,21,4,M5_frozen,True,12,R1_raw21,72.14,1,0.6086610811504879,0.5694497945557268,0.24087720249794942,0.4264,0.034775698210171735,0.674600789053519,105,93,5000,17,12,0.6402698863636364,0.5952105803800719,0.23381251631365332,0.401,0.008321548550219805,0.6594841366490614
5004,4,88,20,False,0,5,21,0,M3_product,False,12,R1_raw21,28.7,0,0.5943477144324603,0.5641146635850025,0.24256058940904424,0.4294,0.01771643886133496,0.6778985984541565,105,105,5000,4,0,0.6048076768746791,0.5649717514124294,0.2407046358041032,0.427,0.015246176195977195,0.6739115119465878
5004,4,88,21,False,0,5,21,4,M4_entangled,False,12,R1_raw21,38.96,1,0.6060018618387263,0.572258602978942,0.2417067460008996,0.4236,0.03356622215146416,0.6764076295562598,105,105,5000,17,12,0.6317351213405238,0.5953229327170005,0.236005676173578,0.401,0.021613425869095183,0.6643266266773713
5004,4,88,21,False,12,5,21,4,M5_frozen,True,12,R1_raw21,30.86,1,0.6028970852593734,0.5758988186954288,0.24268041801391468,0.4194,0.02908919862201874,0.6786515118270365,105,93,5000,17,12,0.6339119478685157,0.5934289933230612,0.23562964740616316,0.403,0.017243116727140885,0.6635989337226392
,4,,,False,,,21,,M0_class_prior,,,R1_raw21,0.0,,0.5,0.5,0.24921599999999994,0.472,1.1102230246251565e-16,0.691578359988849,0,0,10000,,,0.5,0.5,0.24921599999999994,0.472,2.220446049250313e-16,0.6915783599888489
,4,,,False,,,21,,M1_logreg,,,R1_raw21,0.03,,0.590425012840267,0.5559546738572162,0.24278891020585483,0.436,0.019506908065582595,0.6784257266374156,22,22,10000,,,0.596842698703133,0.5515055213148434,0.24152382410097692,0.4395,0.02114126685522324,0.6755792772197717
,4,,,False,,,21,,M2_mlp,,,R1_raw21,3.48,,0.6233334938366718,0.5905367231638419,0.2374531764480884,0.4094,0.014948079464967599,0.6672851737479988,93,93,10000,,,0.6286454320749871,0.6002182845403183,0.23601805184498822,0.3985,0.02143967059126231,0.664227906988489
