block,model,representation,test_auroc,test_logloss,train_size
2,M1_logreg,R2_pca8,0.5182996276322548,0.6920352394320295,5000
3,M1_logreg,R2_pca8,0.5195146379044684,0.6915098272349057,5000
4,M1_logreg,R2_pca8,0.5437063430919363,0.6892904061763412,5000
0,M2_mlp,R2_pca8,0.5844038906009245,0.6804237093237844,5000
1,M2_mlp,R2_pca8,0.5742291024653312,0.6832063566248949,5000
2,M2_mlp,R2_pca8,0.5586752054442733,0.6872056481066198,5000
3,M2_mlp,R2_pca8,0.5845963341037493,0.6803536571789999,5000
4,M2_mlp,R2_pca8,0.5642368066255778,0.6851208006070245,5000
0,M3_product,R2_pca8,0.5764564072932716,0.6832277307800098,5000
1,M3_product,R2_pca8,0.5782282036466359,0.6832096286805652,5000
2,M3_product,R2_pca8,0.5854261363636364,0.68131317794062,5000
3,M3_product,R2_pca8,0.5710487288135593,0.6840776534372016,5000
4,M3_product,R2_pca8,0.58053271058038,0.6820790824124424,5000
0,M4_entangled,R2_pca8,0.5888482280431433,0.6789409397860889,5000
1,M4_entangled,R2_pca8,0.5794785246533127,0.6826378232817919,5000
2,M4_entangled,R2_pca8,0.5768549370826913,0.6834872437142897,5000
3,M4_entangled,R2_pca8,0.5914718156137647,0.6784890416352649,5000
4,M4_entangled,R2_pca8,0.583085676682075,0.6812979860436461,5000
0,M5_frozen,R2_pca8,0.5886697483307652,0.6788276233015704,5000
1,M5_frozen,R2_pca8,0.5814517526964561,0.6825299596447658,5000
2,M5_frozen,R2_pca8,0.5794316576784797,0.6819990798852585,5000
3,M5_frozen,R2_pca8,0.5892021379044685,0.678978903796641,5000
4,M5_frozen,R2_pca8,0.5841482087827427,0.6813912582316647,5000
0,M0_class_prior,R2_pca8,0.5,0.691578359988849,10000
1,M0_class_prior,R2_pca8,0.5,0.691578359988849,10000
2,M0_class_prior,R2_pca8,0.5,0.691578359988849,10000
3,M0_class_prior,R2_pca8,0.5,0.691578359988849,10000
4,M0_class_prior,R2_pca8,0.5,0.691578359988849,10000
0,M1_logreg,R2_pca8,0.5391822354904983,0.6897358976928533,10000
1,M1_logreg,R2_pca8,0.5430937018489984,0.6891282695472927,10000
2,M1_logreg,R2_pca8,0.5318331086286595,0.6905669990336589,10000
3,M1_logreg,R2_pca8,0.5294249165382641,0.6905482448604402,10000
4,M1_logreg,R2_pca8,0.5498118900873138,0.688494207253036,10000
0,M2_mlp,R2_pca8,0.6093143297380585,0.6728774184042655,10000
1,M2_mlp,R2_pca8,0.5876632318952235,0.6799992770065768,10000
2,M2_mlp,R2_pca8,0.5924967899332306,0.679105885251381,10000
3,M2_mlp,R2_pca8,0.6001691705187467,0.6763934607519112,10000
4,M2_mlp,R2_pca8,0.5868666538263996,0.6800478802473533,10000
0,M3_product,R2_pca8,0.6103858500256805,0.6724447565051714,10000
1,M3_product,R2_pca8,0.6029086414997432,0.6757890443500764,10000
2,M3_product,R2_pca8,0.5956022085259374,0.678218294410596,10000
