arch,block,seed,trainable_logloss,frozen_logloss,diff_frozen_minus_trainable
2,8,1,0.7654302667181221,0.7751597714297696,0.009729504711647463
3,8,0,0.7666089470973763,0.7456376236453414,-0.020971323452034896
3,8,1,0.7438990958299246,0.7277834449684225,-0.01611565086150213
4,8,0,0.8011427176866198,0.7740931750748369,-0.02704954261178294
4,8,1,0.7913017864541512,0.7447965632710655,-0.0465052231830857
5,8,0,0.7705295000319986,0.7687263446537694,-0.001803155378229171
5,8,1,0.796145283605793,0.7565678238463766,-0.0395774597594164
6,8,0,0.7757135029058143,0.7444688934477514,-0.031244609458062955
6,8,1,0.7702967758125518,0.7359320756845281,-0.03436470012802373
7,8,0,0.7425729773830636,0.7326954434390909,-0.009877533943972727
7,8,1,0.7811584282851839,0.7414690210371992,-0.03968940724798464
8,8,0,0.7358992895187894,0.7491294318744335,0.013230142355644126
8,8,1,0.7708143311608742,0.7443542577038037,-0.026460073457070465
9,8,0,0.7516232786304359,0.7301148803044114,-0.02150839832602447
9,8,1,0.7469708376025573,0.7511674687256816,0.004196631123124295
10,8,0,0.7844132959791118,0.7636999910773964,-0.020713304901715412
10,8,1,0.783377682359785,0.7510361639351822,-0.032341518424602755
11,8,0,0.8113981986207489,0.8113981986207489,0.0
11,8,1,0.7371851843405486,0.7371851843405486,0.0
12,8,0,0.7290675022082971,0.7516007281120296,0.022533225903732523
12,8,1,0.7873148852592421,0.7653239095987312,-0.021990975660510892
13,8,0,0.7487532114760365,0.7631913109308482,0.014438099454811781
13,8,1,0.7585883467857851,0.7716616500889087,0.013073303303123618
14,8,0,0.7125552076159709,0.7453329704915655,0.03277776287559464
14,8,1,0.7325126451825317,0.7433305281834542,0.010817883000922568
15,8,0,0.8038305127820122,0.8024996740795839,-0.0013308387024283386
15,8,1,0.7581444558519911,0.7798985442122177,0.02175408836022663
16,8,0,0.7201660990891128,0.7201660990891127,-1.1102230246251565e-16
16,8,1,0.7127979474537228,0.712797947453723,2.220446049250313e-16
17,8,0,0.7779783366489719,0.7385409244046094,-0.03943741224436248
17,8,1,0.7692888420793759,0.7507254096463394,-0.018563432433036486
18,8,0,0.7738156340012265,0.7681145302932311,-0.005701103707995481
18,8,1,0.7577834939384508,0.767198686191339,0.009415192252888227
19,8,0,0.7215759343760877,0.7631523660697779,0.041576431693690186
19,8,1,0.7575614237123269,0.7302847905999644,-0.027276633112362503
0,9,0,0.7421802545881563,0.7409335143431736,-0.0012467402449827247
0,9,1,0.7200432350674392,0.746537629116463,0.026494394049023873
1,9,0,0.7428254125670228,0.7167784352016919,-0.026046977365330903
1,9,1,0.7337753461079632,0.7597302780216765,0.02595493191371323
2,9,0,0.7735399699253405,0.7507664891116859,-0.0227734808136546
2,9,1,0.7592998127929773,0.7615309926456464,0.002231179852669074
3,9,0,0.7365220371449305,0.7345495047318816,-0.001972532413048844
3,9,1,0.7639380462599752,0.7598705157739383,-0.004067530486036919
4,9,0,0.7679350513743279,0.7439082031945122,-0.024026848179815707
4,9,1,0.7614490201193573,0.7720008591598145,0.0105518390404572
5,9,0,0.7492057801988574,0.7694974038774298,0.0202916236785724
5,9,1,0.7313665020419352,0.7186057661672263,-0.01276073587470894
6,9,0,0.7239650984199595,0.7549899136013035,0.031024815181344034
6,9,1,0.7251270051714944,0.7444289001583699,0.019301894986875512
7,9,0,0.7391526640444213,0.7353918620062503,-0.003760802038170974
7,9,1,0.7407216013007388,0.7323528876222242,-0.008368713678514661
8,9,0,0.7530987799757015,0.7279274671193002,-0.025171312856401284
8,9,1,0.7275257774883596,0.7204796119739992,-0.007046165514360325
9,9,0,0.7179046017580779,0.7201650933885235,0.0022604916304456157
9,9,1,0.7102711831815013,0.7176571505438174,0.007385967362316115
10,9,0,0.754295994781374,0.7470196133072684,-0.0072763814741055866
10,9,1,0.7654945742666582,0.7639274493845528,-0.0015671248821054196
11,9,0,0.7857646563256345,0.7857646563256344,-1.1102230246251565e-16
11,9,1,0.7516020789987344,0.7516020789987349,4.440892098500626e-16
12,9,0,0.7211433012544266,0.7390783103246233,0.01793500907019674
12,9,1,0.7827706237980203,0.7345226046309171,-0.048248019167103195
13,9,0,0.7438433367223627,0.7553567372016629,0.011513400479300162
13,9,1,0.7305181362189903,0.7465744616460621,0.016056325427071805
14,9,0,0.7188854349648529,0.7310157123067225,0.012130277341869555
14,9,1,0.7421559885818265,0.7355615804398545,-0.006594408141971986
15,9,0,0.721115676747947,0.7875301827863157,0.06641450603836874
15,9,1,0.7441995991578849,0.7429758505423187,-0.001223748615566178
16,9,0,0.7092867203002652,0.7092867203002656,4.440892098500626e-16
16,9,1,0.703615522951048,0.703615522951048,0.0
17,9,0,0.7433631372049619,0.7133155398818088,-0.030047597323153097
17,9,1,0.7769156160080681,0.7312211767776055,-0.04569443923046268
18,9,0,0.7496651614655228,0.7664755437753722,0.016810382309849436
18,9,1,0.744105200803476,0.7222545705423159,-0.021850630261160076
19,9,0,0.7175756375799531,0.7203649157211129,0.002789278141159812
19,9,1,0.7168628688392944,0.7078233462068808,-0.009039522632413588
