run_id,arm,block,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_logloss,test_auc,test_accuracy,test_brier
controlled_random_b3_s2,controlled_random,3,2,25,0,0,0,25,0.703894267142607,0.7423082913887561,0.530398642441359,0.525,0.27008997459393747
controlled_evolutionary_b3_s0,controlled_evolutionary,3,0,25,0,6,0,19,0.6704663766438173,0.7735247958557236,0.5167839419747985,0.5145,0.2816052748634714
controlled_evolutionary_b3_s1,controlled_evolutionary,3,1,25,0,7,0,18,0.7030957673393567,0.7396483357763419,0.5300265574414994,0.523,0.2695603134335706
controlled_evolutionary_b3_s2,controlled_evolutionary,3,2,25,0,2,0,23,0.7205961985828396,0.762910081795673,0.5344283931945554,0.527,0.27381838252667773
controlled_greedy_b3_s0,controlled_greedy,3,0,25,0,1,0,25,0.6953909771740875,0.7405484037955988,0.5235075480099971,0.51,0.26902220454266546
controlled_greedy_b3_s1,controlled_greedy,3,1,25,0,2,0,23,0.6854862574120915,0.7260961888578866,0.5397328610227423,0.5365,0.2638344908788564
controlled_greedy_b3_s2,controlled_greedy,3,2,25,0,1,0,24,0.7061404122456668,0.7143348566202004,0.5182271503704803,0.52,0.25965898088954487
controlled_random_b4_s0,controlled_random,4,0,25,0,1,0,24,0.6987388050451341,0.706522993863681,0.5379546758347341,0.538,0.25585654217054976
controlled_random_b4_s1,controlled_random,4,1,25,0,2,0,23,0.6949643868142467,0.7154028349362156,0.5515743909239341,0.545,0.25902881857297766
controlled_random_b4_s2,controlled_random,4,2,25,0,0,0,25,0.699797730390503,0.7117976908675673,0.5464745196994436,0.547,0.2575817323488734
controlled_evolutionary_b4_s0,controlled_evolutionary,4,0,25,0,3,0,22,0.70143023983026,0.7108169963264136,0.5454395015866266,0.5255,0.25796718093100096
controlled_evolutionary_b4_s1,controlled_evolutionary,4,1,25,0,9,0,18,0.7026038100205817,0.7566032930566032,0.5175461646160203,0.5115,0.2757942361140002
controlled_evolutionary_b4_s2,controlled_evolutionary,4,2,25,0,4,0,21,0.7088668954755187,0.7084587434837076,0.5587453012985867,0.5425,0.25589699990117887
controlled_greedy_b4_s0,controlled_greedy,4,0,25,0,0,0,25,0.6928924438732322,0.7374578498467547,0.524191542538041,0.524,0.2682223139331356
controlled_greedy_b4_s1,controlled_greedy,4,1,25,0,5,0,21,0.7051086866070648,0.698822428429116,0.5498634016792968,0.54,0.2524352744594513
controlled_greedy_b4_s2,controlled_greedy,4,2,25,0,1,0,24,0.7001410260630877,0.7261719877160756,0.5389866851739673,0.536,0.263055400516292
controlled_random_b5_s0,controlled_random,5,0,25,0,1,0,24,0.7214425885966441,0.736859834715204,0.5159745818807644,0.499,0.2662163168743579
