block,seed,baseline,total_params,test_logloss,test_auc,test_accuracy
3,2,C3_rbf_svm_cal,,0.6875478102278317,0.5513497358296794,0.534
3,2,C4_hist_gb,,0.7218167392564329,0.5203899571149473,0.516
3,2,C5_random_forest,,0.6941166586465924,0.5299754082905752,0.527
3,2,C6_fixed_mlp,51,0.7330129402411046,0.5322801288557434,0.5335
3,2,C7_fair_nas,51,0.7105793450823752,0.5202886617376269,0.5385
4,0,C0_majority,0,0.6916904772869695,0.5,0.527
4,0,C1_logreg,9,0.6882902687209039,0.549506360547356,0.5375
4,0,C2_linear_svm_cal,,0.6877109978860378,0.5481754796988016,0.537
4,0,C3_rbf_svm_cal,,0.6882066640776685,0.5570022184690557,0.5475
4,0,C4_hist_gb,,0.7171565082515551,0.5394344909756851,0.534
4,0,C5_random_forest,,0.6887789050219301,0.5481694621516341,0.5365
4,0,C6_fixed_mlp,51,0.7144016084447734,0.5363861018730618,0.5305
4,0,C7_fair_nas,55,0.6916884720433258,0.5,0.527
4,1,C0_majority,0,0.6916904772869695,0.5,0.527
4,1,C1_logreg,9,0.6882902687209039,0.549506360547356,0.5375
4,1,C2_linear_svm_cal,,0.6877109978860378,0.5481754796988016,0.537
4,1,C3_rbf_svm_cal,,0.6882066640776685,0.5570022184690557,0.5475
4,1,C4_hist_gb,,0.7171565082515551,0.5394344909756851,0.534
4,1,C5_random_forest,,0.6887789050219301,0.5481694621516341,0.5365
4,1,C6_fixed_mlp,51,0.7070996713810034,0.544963112435863,0.5415
4,1,C7_fair_nas,79,0.6916919154213338,0.5,0.527
4,2,C0_majority,0,0.6916904772869695,0.5,0.527
4,2,C1_logreg,9,0.6882902687209039,0.549506360547356,0.5375
4,2,C2_linear_svm_cal,,0.6877109978860378,0.5481754796988016,0.537
4,2,C3_rbf_svm_cal,,0.6882066640776685,0.5570022184690557,0.5475
4,2,C4_hist_gb,,0.7171565082515551,0.5394344909756851,0.534
4,2,C5_random_forest,,0.6887789050219301,0.5481694621516341,0.5365
4,2,C6_fixed_mlp,51,0.7123414110953615,0.5364914089484938,0.5295
4,2,C7_fair_nas,51,0.7212331012145919,0.5389325272494594,0.5335
5,0,C0_majority,0,0.6916904772869695,0.5,0.527
5,0,C1_logreg,9,0.6941960705451194,0.5292332441399119,0.5235
5,0,C2_linear_svm_cal,,0.6905945962894828,0.5288721913098595,0.5285
5,0,C3_rbf_svm_cal,,0.691607773428949,0.5138503877306225,0.523
5,0,C4_hist_gb,,0.7259006114720876,0.5171159099935412,0.5275
5,0,C5_random_forest,,0.6936658911742972,0.5267660498012203,0.5275
5,0,C6_fixed_mlp,51,0.7316996046501827,0.5360912420618524,0.5305
5,0,C7_fair_nas,55,0.6916884719985363,0.5,0.527
5,1,C0_majority,0,0.6916904772869695,0.5,0.527
5,1,C1_logreg,9,0.6941960705451194,0.5292332441399119,0.5235
5,1,C2_linear_svm_cal,,0.6905945962894828,0.5288721913098595,0.5285
5,1,C3_rbf_svm_cal,,0.691607773428949,0.5138503877306225,0.523
5,1,C4_hist_gb,,0.7259006114720876,0.5171159099935412,0.5275
5,1,C5_random_forest,,0.6936658911742972,0.5267660498012203,0.5275
5,1,C6_fixed_mlp,51,0.7273788333889029,0.5399575161169972,0.532
5,1,C7_fair_nas,55,0.6961566139597717,0.5083979885345669,0.5255
5,2,C0_majority,0,0.6916904772869695,0.5,0.527
5,2,C1_logreg,9,0.6941960705451194,0.5292332441399119,0.5235
5,2,C2_linear_svm_cal,,0.6905945962894828,0.5288721913098595,0.5285
5,2,C3_rbf_svm_cal,,0.691607773428949,0.5138503877306225,0.523
5,2,C4_hist_gb,,0.7259006114720876,0.5171159099935412,0.5275
5,2,C5_random_forest,,0.6936658911742972,0.5267660498012203,0.5275
5,2,C6_fixed_mlp,51,0.7063381996253185,0.5564455953560583,0.5515
5,2,C7_fair_nas,55,0.6916926623099644,0.5,0.527
6,0,C0_majority,0,0.6916904772869695,0.5,0.527
6,0,C1_logreg,9,0.6922521293175419,0.5198899992377773,0.5175
