block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
1,a1defaf7f589,15,11,53,0.7222395217847605,32,41,3.284
1,a403e6671e57,9,3,53,0.7286807346581048,3,11,2.8703
1,a51d494b73cf,11,6,53,0.702380160051634,15,26,2.8757
1,a5d4bf93423d,12,10,53,0.7604951967398169,27,35,2.9408
1,a70ed100eec4,7,3,53,0.7123238753853164,3,11,2.5135
1,a70ed100eec4,7,3,53,0.7186449727152229,3,11,2.5127
1,a7b79167a48b,7,4,53,0.7427141998232961,12,17,2.6898
1,a7e735c5993c,15,11,53,0.7539767019733316,36,45,3.471
1,a90db7324f20,8,3,53,0.7997267980465095,3,12,2.7055
1,a9d551ef3c39,12,10,53,0.7480129870590079,14,17,2.8484
1,aac25e7d8468,4,0,53,0.7031137693365416,0,4,2.1099
1,aac25e7d8468,4,0,53,0.7543357072808874,0,4,2.1471
1,ac031c386712,10,6,53,0.7578332748588539,6,14,2.8683
1,ad31888f15f0,10,7,53,0.7497430106618653,23,34,3.0205
1,ae6343d66770,7,4,53,0.7184402345514886,12,17,2.3989
1,aea67b7c2242,9,6,53,0.7214210532946533,12,25,3.0429
1,aff2f1d6be55,12,7,53,0.7322097534018116,19,27,2.9818
1,b0cd699ece2a,9,6,53,0.7892037200438826,12,19,2.5978
1,b217e0deb5f4,11,7,53,0.7058432894140683,17,20,2.6427
1,b38162d761bf,11,9,53,0.7903896248782168,9,16,3.3775
1,b393daf5dc0a,7,3,53,0.7353828487183485,6,11,2.3571
1,b62ea45650c8,20,18,53,0.8666653391703409,55,56,3.191
1,b78b6445a2dd,7,4,53,0.7308468003659377,14,20,2.3783
1,b911c67dae93,12,7,53,0.7406582728592576,16,26,3.106
1,ba93c591a12a,7,3,53,0.7666528346557572,3,11,2.6505
1,bbd8bb2b6bb7,12,7,53,0.7122081165239933,19,29,2.99
1,bdcad8be0e2e,16,14,53,0.7535343212634383,46,51,3.0519
1,bdd9af3c2ceb,9,6,53,0.7035227882931883,12,17,2.3576
1,be2d3fd6e5a9,4,0,53,0.7629854127990553,0,4,2.1668
1,be2d3fd6e5a9,4,0,53,0.6945484101115814,0,4,2.4086
1,bedc4fc1da04,11,7,53,0.760142850301351,19,27,2.7885
1,bf1593c370d7,13,11,53,0.7146331230481684,33,39,2.9994
1,bf65bfaa4dac,18,15,53,0.6966449450189548,48,53,3.2738
1,bf90cb31cd07,11,7,53,0.7501084760791435,17,25,3.0451
1,c06044b25e7e,8,3,53,0.7411454746954421,6,16,2.6965
1,c1057a220e3c,13,10,53,0.7207284063688201,28,34,3.0169
1,c527d4e4bea6,5,0,53,0.7403424814267112,0,5,2.9594
1,c5331d189311,9,3,53,0.7474038746956155,3,12,2.8884
1,c7e02d89194a,10,6,53,0.7362350859598936,6,10,2.727
1,c7f863da692b,12,11,53,0.7835887227508356,35,38,2.6909
1,c7fff5f5f418,12,10,53,0.7350409410744657,26,31,2.7647
1,cd763c399386,10,7,53,0.7640489968499162,23,36,2.7509
1,cd83f6e9cb10,10,4,53,0.7441456297745775,10,19,3.1577
1,d04c74b8b253,10,7,53,0.7026779454435151,19,27,2.4561
1,d1b5248a49c2,11,8,53,0.7547124988174964,28,33,2.8423
1,d203ac16dfd4,11,7,53,0.7376823496328043,23,30,3.1489
1,d28bc0c48242,10,7,53,0.6930874355221608,19,28,2.5865
1,d4a0a85e103c,14,11,53,0.7067143563263921,29,36,3.5275
1,d5bb027f1e42,10,6,53,0.7097810760270615,12,19,2.6845
1,d5c01e7b13b0,9,3,53,0.6996799303094831,3,12,2.8256
1,d5c082b51b85,9,7,53,0.720706839437731,17,25,2.8455
1,d87f6b00d8b8,7,3,53,0.7117572128624747,6,13,2.4164
1,d885d2bef868,10,8,53,0.7449565319562678,30,36,2.5589
1,d97ccd04f4f5,7,4,53,0.7712327109145838,14,20,2.3796
1,d97ccd04f4f5,7,4,53,0.727754955367856,14,20,2.6142
1,d9f38a8cf7b8,8,4,53,0.7494203985682436,10,13,2.5168
1,dc1e120715e9,7,3,53,0.7659693361384682,3,7,2.7063
1,dd3d12e5859e,13,10,53,0.7711171147817872,26,32,3.2573
1,e425705d298f,10,6,53,0.730272782803932,6,14,3.2425
1,e46ad5ebce60,15,13,53,0.6921207288433775,38,45,2.8602
1,e556967495b4,7,3,53,0.7802221860246342,3,7,2.2951
1,e603adab834b,8,4,53,0.7432817310164247,10,17,2.6393
1,e6125982748f,13,10,53,0.7411794553052427,25,33,2.6827
1,e6ef0fc23911,4,0,53,0.7210712549365728,0,4,2.4683
1,e7a113149909,12,11,53,0.7553830611919355,35,40,3.0185
1,ec3d3cfa1e99,13,11,53,0.8703951144915232,37,37,3.0413
1,ed9992583ace,14,11,53,0.7592574786501423,29,34,3.0537
