block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
1,43e4afecd68d,12,10,53,0.7248023390119012,18,22,2.8588
1,454057694508,10,7,53,0.6946778933410214,23,33,2.5508
1,47543881da9a,12,10,53,0.7369515942602873,26,35,3.1225
1,498f0941f881,9,3,53,0.7081263736436191,3,12,2.9622
1,4a81dc62cff5,10,7,53,0.7558281662561215,19,28,2.6792
1,4b0a53601342,10,7,53,0.7269080387812629,23,29,2.6538
1,4b8bfdff4376,13,10,53,0.7629954710988154,30,35,3.0117
1,4da117fd5f9e,9,4,53,0.7227634569220082,10,17,3.1186
1,52143ae4ac4b,7,4,53,0.7471224225386455,14,20,2.5356
1,52170b6e5241,13,10,53,0.712720286463504,32,41,3.1836
1,529f94be7b94,13,10,53,0.7626915415422829,30,33,2.8074
1,5434f6036ce1,8,4,53,0.7573097465556432,10,14,2.536
1,57042f8c2ffb,12,7,53,0.7512130510804389,16,24,2.8504
1,581655648b3f,14,11,53,0.7379416608910412,36,43,2.8707
1,59389d923b6c,13,10,53,0.7686491055050098,19,26,2.9051
1,5c8acd9c9626,13,10,53,0.7672760623576467,26,32,3.3382
1,5eaa2ba8d841,8,4,53,0.7182630540979598,14,23,2.6542
1,5edd8b055e68,7,4,53,0.7468793476115316,14,20,2.3548
1,5f60874932a6,4,0,53,0.7050745628769796,0,4,2.2237
1,61c04d782603,7,4,53,0.7068503078773729,12,17,2.361
1,61d8ee298451,14,12,53,0.7725358078742305,44,40,3.4109
1,647134df7ad7,14,11,53,0.7396976278136529,29,33,3.0051
1,648dcfd39060,10,7,53,0.7114597729999068,11,15,3.1135
1,660686604c65,10,6,53,0.7751580243810967,15,24,3.1186
1,6b5c74288ed2,16,13,53,0.7380661269656787,34,43,2.8308
1,6bced5a08fbb,7,3,53,0.7227153390387645,6,10,2.2547
1,6c00e79bfcbd,11,7,53,0.7801700836271052,19,26,2.9173
1,6c06e2848b17,11,6,53,0.7076258892422984,12,23,2.7921
1,6c1699daf1ec,16,15,53,0.7980647823114955,47,47,3.014
1,6c71145ed992,8,4,53,0.7342597630453848,10,13,2.3706
1,6dd137af510f,7,3,53,0.7691613064405974,6,16,2.5401
1,6df3d7537ca4,7,4,53,0.7141481230088808,12,17,2.4429
1,6e1ab051edd7,12,10,53,0.758706494464273,30,37,3.1397
1,712d8aea6e74,15,12,53,0.7425552249820377,44,43,3.3281
1,712f16159d55,8,4,53,0.7506526757740316,10,18,2.6121
1,71a4827e754f,18,15,53,0.7280062123699766,50,54,3.3398
1,74fa008ee170,10,7,53,0.7232589712039499,19,28,2.7307
1,7515b0845b26,10,7,53,0.7062770180004432,23,36,2.7474
1,7623f278a174,7,4,53,0.7150620617009464,14,21,2.6779
1,772495a64140,7,4,53,0.747575164340184,14,20,2.8328
1,7bd16c013b44,10,7,53,0.7113067979919956,23,30,3.3232
1,7e428a0a1e55,13,11,53,0.7390635422136081,36,43,2.8275
1,7f3aed384f51,4,0,53,0.7512890452922083,0,4,2.3379
1,8003fa6cf58d,13,10,53,0.7601601346850577,24,28,3.6211
1,80efcde460dd,4,0,53,0.7266788291191117,0,4,2.322
1,82741cbc2658,14,11,53,0.7543908570931672,37,42,2.979
1,82a6995d4eda,16,12,53,0.7727438211022987,42,40,3.4857
1,880b6af94720,10,7,53,0.7212206894524977,19,27,2.8746
1,8a1b91cc9467,4,0,53,0.7216072629274228,0,4,2.1821
1,8b3f5c70e7ed,13,11,53,0.7547742571415905,33,34,3.0636
1,8b975a728ca1,7,4,53,0.7347362502440631,12,17,2.3712
1,8de3f193c871,12,10,53,0.7455075042096749,26,28,2.5803
1,8e249f067bad,18,15,53,0.6979886935503302,50,55,3.3096
1,8fea3c837ab6,15,12,53,0.7941529532874437,46,45,3.4787
1,9004f02d23b4,11,8,53,0.7705491812574023,30,38,2.815
1,95b94d178edd,10,8,53,0.7592566487005549,28,33,2.5895
1,965ae64614d1,10,7,53,0.8089127438495859,11,15,2.6917
1,97a9fea463c4,7,3,53,0.7423199864026976,6,14,2.6927
1,97fc797ea1be,8,4,53,0.8074192604300168,10,12,2.3826
1,99bd7cb33a0a,14,14,53,0.7721920086001166,38,42,2.9754
1,99fa81dc6be2,19,18,53,0.7457643005659252,54,52,3.285
1,9a7e4a55c544,7,3,53,0.7264571058248034,6,14,2.6855
1,9ad604f29ffc,10,6,53,0.8089392808902024,12,20,2.8841
1,9ceb2d4f4a42,7,4,53,0.7624145682059541,14,21,2.389
1,9d3d9df7db75,9,6,53,0.7355069819412644,12,15,2.619
1,9d5a063356a2,17,15,53,0.7198024687098578,49,46,3.1638
1,9eaeedb418c6,13,10,53,0.7350187159245791,29,34,2.9745
1,a0f647233ee7,14,10,53,0.7439857105037967,23,28,2.8104
