split,seed,model,val_rmse,test_rmse,total_params
2,0,C2_param_matched_mlp,0.030216912109123015,0.03432452740981235,107
2,0,C3_classical_search,0.018791625903047077,0.021059827353818113,107
2,1,C1_bottleneck,0.04994370687323222,0.05759391579683301,93
2,1,C2_param_matched_mlp,0.02565111791885787,0.0293425876985676,107
2,1,C3_classical_search,0.018966626622509874,0.020254593976865246,93
2,2,C1_bottleneck,0.041802488230732064,0.04808515192651615,93
2,2,C2_param_matched_mlp,0.024748225832981443,0.03177991031551763,107
2,2,C3_classical_search,0.017694439182333564,0.01955879847856258,116
2,3,C1_bottleneck,0.046290635421714924,0.05336642996193141,93
2,3,C2_param_matched_mlp,0.0225202126566501,0.02627963818108684,107
2,3,C3_classical_search,0.017815137878267617,0.021837633110283222,101
2,4,C1_bottleneck,0.04221061790268257,0.04874867467964239,93
2,4,C2_param_matched_mlp,0.029871730095941924,0.03430943049858772,107
2,4,C3_classical_search,0.01943284828986737,0.02383736751920382,116
2,5,C1_bottleneck,0.03988544132983163,0.044750719215150524,93
2,5,C2_param_matched_mlp,0.030321968040153042,0.03434210726096626,107
2,5,C3_classical_search,0.02545949467713841,0.031081233175693498,101
2,6,C1_bottleneck,0.04243760761427926,0.04907058653089778,93
2,6,C2_param_matched_mlp,0.02782594718568499,0.032640766030168925,107
2,6,C3_classical_search,0.02128385927394403,0.022316823576945432,116
2,7,C1_bottleneck,0.04469021854918984,0.05170019679394344,93
2,7,C2_param_matched_mlp,0.028065322861415276,0.03447632245341737,107
2,7,C3_classical_search,0.021054053090593272,0.023128128884983105,93
2,8,C1_bottleneck,0.05171380869166593,0.059075670483900417,93
2,8,C2_param_matched_mlp,0.023220177804015217,0.027654342223775868,107
2,8,C3_classical_search,0.01796417840825731,0.019678081434962594,107
2,9,C1_bottleneck,0.04026367488773425,0.046324640398960344,93
2,9,C2_param_matched_mlp,0.027936175483635764,0.03215081226009828,107
2,9,C3_classical_search,0.024668461871659286,0.030043130859055734,107
