split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,4a81dc62cff5,angle,4,10,19,7,88,12,5,105,0.022401261478490433,0.853
0,4a9be18231a1,angle,4,13,26,10,88,12,5,105,0.018395969762397955,1.016
0,4b0a53601342,angle,4,10,19,7,88,12,5,105,0.02579397406109408,0.8573
0,4b4672d8aa22,angle,4,7,19,3,88,12,5,105,0.017554465186755765,0.9292
0,4b8bfdff4376,angle,4,13,26,10,88,12,5,105,0.02803807475919968,1.0077
0,4bab8e0ac91e,angle,4,15,22,14,88,12,5,105,0.02531365800035589,1.0771
0,4c9aa7f0d8ee,angle,4,9,19,7,88,12,5,105,0.032082225443562984,0.8681
0,4c9aa7f0d8ee,angle,4,9,19,7,88,12,5,105,0.03296601417918837,0.9426
0,4da117fd5f9e,angle,4,9,24,4,88,12,5,105,0.030735613181508276,0.9568
0,4dce2ec33ea4,angle,4,14,25,13,88,12,5,105,0.019302122607419706,1.1068
0,4dd29eee6719,angle,4,11,25,9,88,12,5,105,0.0196631424654195,0.9907
0,4e69cf5bb4b7,angle,4,14,23,11,88,12,5,105,0.017882097968875237,0.8962
0,4e7e4f9b6524,angle,4,8,20,4,88,12,5,105,0.04222674539360835,0.8161
0,4f97a2206863,angle,4,14,23,11,88,12,5,105,0.018757681039408898,1.008
0,4fd62dfe69e3,angle,4,16,26,14,88,12,5,105,0.015763247997868577,1.0814
0,505e705e80b3,angle,4,10,16,8,88,12,5,105,0.02509022618632489,0.837
0,505e705e80b3,angle,4,10,16,8,88,12,5,105,0.03438726764133543,0.8225
0,508166635cb9,angle,4,14,25,13,88,12,5,105,0.028909342868545587,1.0099
0,50ba4ab18d67,angle,4,16,26,14,88,12,5,105,0.029885768242427436,0.9746
0,50c469682921,angle,4,13,23,11,88,12,5,105,0.023056688719559924,0.9403
0,51d6569afc5b,angle,4,16,28,12,88,12,5,105,0.021250045164418023,1.0299
0,52143ae4ac4b,angle,4,7,16,4,88,12,5,105,0.018879434082707525,1.0631
0,52143ae4ac4b,angle,4,7,16,4,88,12,5,105,0.01635937811709455,0.7788
0,52143ae4ac4b,angle,4,7,16,4,88,12,5,105,0.027816193186655565,0.7734
0,529b780b1f70,angle,4,15,26,14,88,12,5,105,0.01656770551651605,1.0195
0,529f94be7b94,angle,4,13,22,10,88,12,5,105,0.013984771369478465,1.1425
0,52c79fc740cf,angle,4,11,25,9,88,12,5,105,0.018466085101801255,0.9594
0,53a3f72c9ea1,angle,4,16,26,14,88,12,5,105,0.025880722463226945,1.0005
0,53c62d7cf705,angle,4,8,20,4,88,12,5,105,0.03166318451133797,0.8725
0,5434f6036ce1,angle,4,8,20,4,88,12,5,105,0.032525440703490234,0.7972
0,544dc771adae,angle,4,14,23,11,88,12,5,105,0.033114951361580484,0.9792
0,54805a36a3d8,angle,4,15,27,11,88,12,5,105,0.01955903432407159,0.9415
0,550c12d300b3,angle,4,12,24,8,88,12,5,105,0.022119103450964177,0.9004
0,558352b085e0,angle,4,14,27,11,88,12,5,105,0.018730331168081867,0.9122
0,55844bffa227,angle,4,15,25,13,88,12,5,105,0.0229653007319903,0.9856
0,567e3db8447d,angle,4,15,27,11,88,12,5,105,0.03314220151998704,1.0133
0,56a1a41cbf30,angle,4,9,24,4,88,12,5,105,0.016822039759798776,0.9849
0,56a1a41cbf30,angle,4,9,24,4,88,12,5,105,0.032088177463549986,1.0659
0,56f8e24bd4c1,angle,4,8,23,3,88,12,5,105,0.025982238076104266,0.9158
0,57042f8c2ffb,angle,4,12,27,7,88,12,5,105,0.021213279360988182,0.951
0,5763d3b667b6,angle,4,11,26,6,88,12,5,105,0.036416980197972515,0.9383
0,57b754f43185,angle,4,11,23,7,88,12,5,105,0.034636928531866576,1.0138
0,57bc4117e700,angle,4,9,27,3,88,12,5,105,0.029109721106217266,0.9368
0,581655648b3f,angle,4,14,23,11,88,12,5,105,0.021122728813833827,0.921
0,584130c28827,angle,4,7,19,3,88,12,5,105,0.026870734130551552,0.8062
0,586f94ba5274,angle,4,15,27,11,88,12,5,105,0.0299081619809274,1.0572
0,58e0380490a1,angle,4,13,22,10,88,12,5,105,0.033286920941590394,0.9172
0,58ef1e13cf1b,angle,4,14,27,11,88,12,5,105,0.021449598510927464,1.218
0,59dcd8cde037,angle,4,16,26,14,88,12,5,105,0.021643151322267403,0.985
0,5a30ba13e6e1,angle,4,18,25,17,88,12,5,105,0.024144598418536528,1.1084
