run_id,arm,split,seed,consumed_budget,num_valid,num_invalid,num_duplicate,num_failed,num_unique,selected_val_rmse,test_rmse
controlled_evolutionary_split2_s2,controlled_evolutionary,2,2,25,21,0,4,0,21,0.01503399754428386,0.01898665335177538
controlled_evolutionary_split2_s3,controlled_evolutionary,2,3,25,18,0,7,0,18,0.015436231158011376,0.019057334749882058
controlled_evolutionary_split2_s4,controlled_evolutionary,2,4,25,20,0,5,0,20,0.014736311039932639,0.01771780718837922
controlled_evolutionary_split2_s5,controlled_evolutionary,2,5,25,21,0,4,0,21,0.013206939906285861,0.016193912945044246
controlled_evolutionary_split2_s6,controlled_evolutionary,2,6,25,21,0,4,0,21,0.013871167315491697,0.015773272421980455
controlled_evolutionary_split2_s7,controlled_evolutionary,2,7,25,17,0,8,0,17,0.014809146589547038,0.017543743431444908
controlled_evolutionary_split2_s8,controlled_evolutionary,2,8,25,18,0,7,0,18,0.014163058652133461,0.016544135683735108
controlled_evolutionary_split2_s9,controlled_evolutionary,2,9,25,18,0,7,0,18,0.015058743994799452,0.017706693083214202
controlled_greedy_split2_s0,controlled_greedy,2,0,25,25,0,0,0,25,0.011160424850843979,0.013591588496122098
controlled_greedy_split2_s1,controlled_greedy,2,1,25,24,0,1,0,24,0.013359448909075528,0.01660596241618421
controlled_greedy_split2_s2,controlled_greedy,2,2,25,23,0,2,0,23,0.011512926262814239,0.014794124763277513
controlled_greedy_split2_s3,controlled_greedy,2,3,25,24,0,1,0,25,0.01445259283216204,0.016121469993082324
controlled_greedy_split2_s4,controlled_greedy,2,4,25,22,0,3,0,22,0.011621257103383771,0.015171491233736418
controlled_greedy_split2_s5,controlled_greedy,2,5,25,23,0,2,0,24,0.011420235034118731,0.013435098665102398
controlled_greedy_split2_s6,controlled_greedy,2,6,25,21,0,4,0,21,0.015086164313634326,0.017946078816752607
controlled_greedy_split2_s7,controlled_greedy,2,7,25,22,0,3,0,22,0.017025179696083408,0.018848598532568674
controlled_greedy_split2_s8,controlled_greedy,2,8,25,24,0,1,0,24,0.013087157410340772,0.016658937894728897
controlled_greedy_split2_s9,controlled_greedy,2,9,25,23,0,2,0,23,0.0155363551016472,0.018723349420625934
