split,seed,condition,val_rmse,test_rmse,total_params,trainable_params,frozen_quantum_params,two_qubit_gate_count
2,2,QR_fixed_random,0.016069634326523315,0.019407950233941693,105,105,0,18
2,3,Q0_no_quantum,0.050922502814061125,0.05824843240676382,93,93,0,
2,3,QF_frozen_random,0.017848363214633917,0.02070709081850452,105,93,12,18
2,3,QP_product_state,0.02760058465752293,0.03395557884941703,105,105,0,0
2,3,QE_fixed_entangled,0.021145820855907025,0.0263476845296859,105,105,0,8
2,3,QR_fixed_random,0.02077302131273349,0.023899876545345967,105,105,0,18
2,4,Q0_no_quantum,0.050803075197183446,0.057998992212127426,93,93,0,
2,4,QF_frozen_random,0.022974432007440954,0.024185763469581036,105,93,12,18
2,4,QP_product_state,0.02985912642447376,0.03342661689282705,105,105,0,0
2,4,QE_fixed_entangled,0.019302766217971508,0.02330426423645121,105,105,0,8
2,4,QR_fixed_random,0.01829748656516823,0.019706109611140377,105,105,0,18
2,5,Q0_no_quantum,0.04717639529282665,0.053937393689483484,93,93,0,
2,5,QF_frozen_random,0.01830483630857304,0.0193368403729284,105,93,12,18
2,5,QP_product_state,0.031073681300178978,0.03680805204764077,105,105,0,0
2,5,QE_fixed_entangled,0.015425338573057926,0.018441184974566815,105,105,0,8
2,5,QR_fixed_random,0.014918491376867139,0.017013638894611174,105,105,0,18
2,6,Q0_no_quantum,0.05120147491993957,0.05849078625993698,93,93,0,
2,6,QF_frozen_random,0.020688215719101174,0.02320169744678959,105,93,12,18
2,6,QP_product_state,0.0317513709142304,0.03713259029541252,105,105,0,0
2,6,QE_fixed_entangled,0.016505071466803817,0.019902231093858774,105,105,0,8
2,6,QR_fixed_random,0.023332354986148125,0.025820544892946412,105,105,0,18
2,7,Q0_no_quantum,0.045240843171241496,0.05297127505111342,93,93,0,
2,7,QF_frozen_random,0.021766481280153044,0.02206154799015054,105,93,12,18
2,7,QP_product_state,0.03756349810189702,0.04170655041757897,105,105,0,0
2,7,QE_fixed_entangled,0.020043231210560515,0.023235217242299974,105,105,0,8
2,7,QR_fixed_random,0.029105852502976544,0.030437820174864294,105,105,0,18
2,8,Q0_no_quantum,0.047077076948897005,0.0545717440418652,93,93,0,
2,8,QF_frozen_random,0.014132373877110823,0.01775321694653703,105,93,12,18
2,8,QP_product_state,0.036380853492845956,0.04168224498564146,105,105,0,0
2,8,QE_fixed_entangled,0.019445267425562344,0.02271500241135816,105,105,0,8
2,8,QR_fixed_random,0.015494333021942959,0.018240332131288842,105,105,0,18
2,9,Q0_no_quantum,0.05091304765479387,0.05811183664771057,93,93,0,
2,9,QF_frozen_random,0.02650903130695565,0.030533763016853458,105,93,12,18
2,9,QP_product_state,0.027216171877057188,0.03128535024120606,105,105,0,0
2,9,QE_fixed_entangled,0.020153477154550823,0.023479302386552357,105,105,0,8
2,9,QR_fixed_random,0.029336190636826586,0.030614564563286945,105,105,0,18
