pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
8,4,1,0.7070069815472408,0.7070069815472408,3,True,0.0
9,4,0,0.7030807163780355,0.6961396850781616,3,True,-0.00694103129987389
9,4,1,0.7107731652149509,0.7167389977623043,3,True,0.005965832547353389
10,4,0,0.7073201328225702,0.7353152540657546,3,True,0.027995121243184373
10,4,1,0.7238191887700178,0.7032868279462879,3,True,-0.02053236082372989
11,4,0,0.7394833827748742,0.7022271864777444,3,True,-0.03725619629712984
11,4,1,0.7113227427072423,0.7203153456008307,3,True,0.008992602893588386
12,4,0,0.7503713256532708,0.7219377661399466,3,True,-0.028433559513324158
12,4,1,0.739980030078071,0.7290124778607268,3,True,-0.010967552217344245
13,4,0,0.7107496880018495,0.7280661183291463,3,True,0.017316430327296795
13,4,1,0.7218544428142792,0.7149580718370516,3,True,-0.006896370977227617
14,4,0,0.72695512842437,0.7176972601964736,6,True,-0.009257868227896426
14,4,1,0.7144021543101876,0.7015882941756001,6,True,-0.012813860134587518
15,4,0,0.7021175183118139,0.7021175183118139,9,True,0.0
15,4,1,0.7122701434572283,0.7122701434572282,9,True,-1.1102230246251565e-16
16,4,0,0.73008059943404,0.7300805994340401,3,True,1.1102230246251565e-16
16,4,1,0.7293655845032615,0.7293655845032615,3,True,0.0
17,4,0,0.6952731664771,0.6952731664771,3,True,0.0
17,4,1,0.7070814864941756,0.7070814864941756,3,True,0.0
18,4,0,0.7317122890334394,0.7179734994369434,3,True,-0.013738789596495993
18,4,1,0.754081282796735,0.7392682610653942,3,True,-0.014813021731340803
19,4,0,0.7032961157462219,0.702699659315781,3,True,-0.0005964564304408171
19,4,1,0.7422083351114889,0.7182285647680278,3,True,-0.023979770343461104
0,5,0,0.7492086340030627,0.7376370254216179,3,True,-0.011571608581444792
0,5,1,0.7248225134229938,0.7122199332136911,3,True,-0.012602580209302605
1,5,0,0.7745662195782959,0.7281135128455201,6,True,-0.046452706732775795
1,5,1,0.7813524667175711,0.7559833687089763,6,True,-0.02536909800859477
2,5,0,0.7477709334931705,0.7159670566482291,3,True,-0.03180387684494135
2,5,1,0.7486916586464595,0.7141311721396464,3,True,-0.03456048650681309
3,5,0,0.7106270086061963,0.7106270086061963,6,True,0.0
3,5,1,0.717566585688703,0.7175665856887034,6,True,3.3306690738754696e-16
4,5,0,0.7562651957547742,0.7461174330058225,3,True,-0.010147762748951794
4,5,1,0.7893414367360975,0.7313368051360815,3,True,-0.05800463160001601
5,5,0,0.7440991752158335,0.7213149255060726,3,True,-0.022784249709760895
5,5,1,0.7400988717861458,0.7324610536465775,3,True,-0.007637818139568209
6,5,0,0.7343152194604673,0.716289730582507,3,True,-0.018025488877960294
6,5,1,0.7269286669470473,0.7287194988699138,3,True,0.0017908319228665537
7,5,0,0.7306613504151244,0.7213943840685029,6,True,-0.009266966346621497
7,5,1,0.7458312434518763,0.7284958315721911,6,True,-0.017335411879685236
8,5,0,0.7129309388319007,0.7129309388319004,3,True,-3.3306690738754696e-16
8,5,1,0.7475455536394278,0.7475455536394278,3,True,0.0
9,5,0,0.7301265306736512,0.7305045151199788,3,True,0.0003779844463276394
9,5,1,0.7247039875704998,0.7179400608833744,3,True,-0.006763926687125443
10,5,0,0.737933279266958,0.7423014996745301,3,True,0.004368220407572121
10,5,1,0.750899479789644,0.7106281736585798,3,True,-0.04027130613106422
11,5,0,0.7481002301941054,0.7493949463915408,3,True,0.001294716197435375
11,5,1,0.7364687256976159,0.7310833707651248,3,True,-0.005385354932491149
12,5,0,0.7679865120333014,0.7318423435882712,3,True,-0.03614416844503021
12,5,1,0.7573059703585833,0.7580284073691195,3,True,0.0007224370105362032
13,5,0,0.7382838653124884,0.7464287785872886,3,True,0.00814491327480027
13,5,1,0.7399682836537136,0.7333766528827012,3,True,-0.0065916307710124356
14,5,0,0.7488212949178538,0.7595369949476614,6,True,0.010715700029807596
14,5,1,0.7287216081139929,0.7425076923665176,6,True,0.0137860842525247
15,5,0,0.7241642905494035,0.7241642905494031,9,True,-3.3306690738754696e-16
15,5,1,0.735931489541576,0.7359314895415761,9,True,1.1102230246251565e-16
16,5,0,0.7536131931316722,0.7536131931316722,3,True,0.0
16,5,1,0.7125569815604614,0.7125569815604615,3,True,1.1102230246251565e-16
17,5,0,0.7175754204478033,0.7175754204478035,3,True,2.220446049250313e-16
17,5,1,0.7272325956424854,0.7272325956424855,3,True,1.1102230246251565e-16
18,5,0,0.7740820420119809,0.7585087274894811,3,True,-0.015573314522499881
18,5,1,0.7589491451911059,0.7230987790236448,3,True,-0.03585036616746107
19,5,0,0.7326972711697114,0.7312449657879802,3,True,-0.0014523053817312448
19,5,1,0.7650987571574698,0.7181095482877937,3,True,-0.04698920886967606
0,6,0,0.7451754277047922,0.7322808694893469,3,True,-0.012894558215445273
0,6,1,0.7052457893920439,0.7241429715881488,3,True,0.018897182196104922
1,6,0,0.7435910973746277,0.7347270252977488,6,True,-0.008864072076878893
1,6,1,0.7592302052376568,0.8015042931874456,6,True,0.04227408794978882
2,6,0,0.7278155977103911,0.7010211029445566,3,True,-0.02679449476583451
2,6,1,0.7152725348660447,0.6964962819834679,3,True,-0.018776252882576783
3,6,0,0.6975414318194237,0.6975414318194237,6,True,0.0
3,6,1,0.7015479748575945,0.7015479748575945,6,True,0.0
4,6,0,0.7236604221135637,0.7298972580918539,3,True,0.006236835978290167
4,6,1,0.7392920232846686,0.6999973922674433,3,True,-0.0392946310172253
5,6,0,0.7203786391700769,0.7114710309664714,3,True,-0.008907608203605588
5,6,1,0.7209492345218048,0.7288407481622845,3,True,0.007891513640479686
6,6,0,0.7220035329989095,0.7094589983911486,3,True,-0.012544534607760949
6,6,1,0.7619527440276581,0.7166847038782695,3,True,-0.045268040149388566
7,6,0,0.7754235606174028,0.7319316265867475,6,True,-0.04349193403065532
7,6,1,0.7409726804981982,0.726301401720351,6,True,-0.014671278777847241
8,6,0,0.7270321909957101,0.7270321909957101,3,True,0.0
8,6,1,0.7260408610450272,0.7260408610450273,3,True,1.1102230246251565e-16
9,6,0,0.7295624016323504,0.7171709565213852,3,True,-0.012391445110965238
9,6,1,0.7154129529448067,0.7081540028175967,3,True,-0.0072589501272100065
10,6,0,0.7371716240535087,0.7425421290135285,3,True,0.005370504960019784
10,6,1,0.7312388369293182,0.7056669423385197,3,True,-0.02557189459079856
11,6,0,0.7376092219126182,0.730083027205871,3,True,-0.007526194706747202
11,6,1,0.7190593042641199,0.7276946293075587,3,True,0.00863532504343878
12,6,0,0.7440326851227784,0.7382055556316687,3,True,-0.00582712949110975
12,6,1,0.72555789976272,0.7351072218215424,3,True,0.009549322058822418
13,6,0,0.7304763313000824,0.7425552986884879,3,True,0.012078967388405526
13,6,1,0.754072672657034,0.7170182344406733,3,True,-0.037054438216360785
14,6,0,0.7382966406572622,0.7262976427279698,6,True,-0.011998997929292377
14,6,1,0.7541942335379395,0.7258110378513442,6,True,-0.02838319568659531
15,6,0,0.7206585466774466,0.7206585466774467,9,True,1.1102230246251565e-16
15,6,1,0.7060220785323859,0.7060220785323859,9,True,0.0
