seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
7,LLM-Closed,nn-real-swap,4,refine,False,,0.75,topology_redesign,0.03173301136644713,0.03506126951439603,0.028522600773744466,0.9682669886335529,0.964938730485604,0.9714773992262555
7,LLM-Open,mirror-chain,4,explore,False,,,,0.1502538552845345,0.1420224679912344,0.13079331285295093,0.8497461447154655,0.8579775320087656,0.8692066871470491
7,Random,R1,1,explore,False,,,,0.15046628288956365,0.14169437044629707,0.13053692010860174,0.8495337171104363,0.8583056295537029,0.8694630798913983
8,Greedy,G4_acc,4,refine,False,,0.0625,,0.1455357248525908,0.14775578894470998,0.1821862601584574,0.8544642751474092,0.85224421105529,0.8178137398415426
8,LLM-Closed,nn-real-latent-bridge,4,refine,False,,0.8125,topology_redesign,0.019801163963757196,0.02182344178868989,0.03006255264932256,0.9801988360362428,0.9781765582113101,0.9699374473506774
8,LLM-Open,mirror-chain,4,explore,False,,,,0.09860097044850713,0.10185421134923267,0.13077850239348598,0.9013990295514929,0.8981457886507673,0.869221497606514
8,Random,R2,2,explore,False,,,,0.14483914071087134,0.14733274043218658,0.1816709741879432,0.8551608592891287,0.8526672595678134,0.8183290258120568
9,Greedy,G3_acc,3,refine,False,,0.0625,,0.3676854742698036,0.32781965619146447,0.3824347304893889,0.6323145257301964,0.6721803438085355,0.6175652695106111
9,LLM-Closed,nn-real-latent-bridge,4,refine,False,,0.5625,topology_redesign,0.030698708766958793,0.027337541268808052,0.028901775045536482,0.9693012912330412,0.972662458731192,0.9710982249544635
9,LLM-Open,mirror-chain,4,explore,False,,,,0.13979086814264874,0.14865827431143108,0.1304970740532594,0.8602091318573513,0.8513417256885689,0.8695029259467406
9,Random,R4,4,explore,False,,,,0.1404820751348541,0.15665270918955587,0.1303416998250475,0.8595179248651459,0.8433472908104441,0.8696583001749525
10,Greedy,G4_acc,4,refine,False,,0.0625,,0.47552180343091455,0.47819640283292963,0.4794832897878011,0.5244781965690855,0.5218035971670704,0.5205167102121989
10,LLM-Closed,nn-real-bottleneck-v1,4,refine,False,,0.875,global_redesign,0.037263740150438984,0.03476463669019536,0.029882258880023604,0.962736259849561,0.9652353633098046,0.9701177411199764
10,LLM-Open,mirror-chain,4,explore,False,,,,0.16562289215115888,0.14841156375597286,0.13118174079664868,0.8343771078488411,0.8515884362440271,0.8688182592033513
10,Random,R1,1,explore,False,,,,0.3702498172454167,0.3683462953825106,0.36169966971555745,0.6297501827545833,0.6316537046174894,0.6383003302844426
11,Greedy,G4_acc,4,refine,False,,0.0625,,0.19466079259420632,0.09343768601503488,0.1918383295313002,0.8053392074057937,0.9065623139849651,0.8081616704686998
11,LLM-Closed,nn-sweep-real,1,explore,False,,0.1875,,0.021390952256233886,0.009079324453237891,0.021939552253886774,0.9786090477437661,0.9909206755467621,0.9780604477461132
11,LLM-Open,mirror-chain,4,explore,False,,,,0.13493103883968915,0.060581079913263225,0.13363694922929137,0.8650689611603108,0.9394189200867368,0.8663630507707086
11,Random,R3,3,explore,False,,,,0.18889547290402753,0.09441714748053842,0.1851314508582662,0.8111045270959725,0.9055828525194616,0.8148685491417338
