structural_hash,encoding_type,n_qubits,encoding_inputs,n_measurements,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds,train_seed
73d29ae4e3f7,angle,4,4,4,10,23,7,88,12,5,105,0.01638155478551232,0.9981,602779316
7620e6e060af,angle,4,4,4,11,23,7,88,12,5,105,0.015715559415233043,0.959,2584332772
7623f278a174,angle,4,4,4,7,16,4,88,12,5,105,0.029992783963478185,0.7808,1339306907
76c179aa9174,angle,4,4,4,11,25,9,88,12,5,105,0.02212172869996724,0.8749,466784187
76c74b79cb97,angle,4,4,4,7,16,4,88,12,5,105,0.03871727962142462,0.7969,2347238317
772495a64140,angle,4,4,4,7,16,4,88,12,5,105,0.02865087883216799,0.8114,1326656283
772495a64140,angle,4,4,4,7,16,4,88,12,5,105,0.0261208822267098,0.7773,2878851539
78391ec1dd4e,angle,4,4,4,13,26,10,88,12,5,105,0.026533861569520444,0.9825,521452097
7a79f2aad316,angle,4,4,4,15,27,11,88,12,5,105,0.02255301641561619,1.1033,1423237957
7a884348d018,angle,4,4,4,13,26,10,88,12,5,105,0.03163509334571035,1.3726,3367690579
7aa160862020,angle,4,4,4,13,26,10,88,12,5,105,0.015087964076343741,1.1027,1722168734
7ca54db163a2,angle,4,4,4,8,23,3,88,12,5,105,0.036657172950455744,0.8778,2759357273
7e428a0a1e55,angle,4,4,4,13,19,11,88,12,5,105,0.029177452904585552,0.9595,2616323684
7f3aed384f51,angle,4,4,4,4,16,0,88,12,5,105,0.03169912800300711,0.772,560024169
7f45c2abd1a8,angle,4,4,4,12,27,7,88,12,5,105,0.027213255328673837,1.0776,3822285929
7f730f43f251,angle,4,4,4,8,20,4,88,12,5,105,0.023897175041716952,0.876,1872412979
8003fa6cf58d,angle,4,4,4,13,26,10,88,12,5,105,0.018109761456362432,0.9743,1349098668
80efcde460dd,angle,4,4,4,4,16,0,88,12,5,105,0.03605648050015221,0.8763,3762858317
8166c1b7bfe4,angle,4,4,4,15,27,11,88,12,5,105,0.013951449261179265,2.2324,4095644728
82385199fc7f,angle,4,4,4,17,27,15,88,12,5,105,0.026759743380542638,1.2683,1780431993
82741cbc2658,angle,4,4,4,14,23,11,88,12,5,105,0.039032143685284966,0.9947,3846370469
82a6995d4eda,angle,4,4,4,16,28,12,88,12,5,105,0.03478199267396006,1.0114,2984006888
8654235724f0,angle,4,4,4,8,23,3,88,12,5,105,0.022127923386064296,0.8705,3180019315
86adb6818840,angle,4,4,4,11,26,6,88,12,5,105,0.023160937910665542,0.9321,3941418681
880b6af94720,angle,4,4,4,10,19,7,88,12,5,105,0.031648977413399206,0.8154,2753228134
8b00213559ef,angle,4,4,4,10,23,7,88,12,5,105,0.029422276148294495,0.8227,2606945911
8b11b1406e2c,angle,4,4,4,15,27,11,88,12,5,105,0.018352570541284825,0.9061,1763518845
8b3f5c70e7ed,angle,4,4,4,13,23,11,88,12,5,105,0.026842989826988566,0.883,2322398215
8b55213400cb,angle,4,4,4,15,27,11,88,12,5,105,0.023252588973633456,1.2296,3694643108
8b975a728ca1,angle,4,4,4,7,16,4,88,12,5,105,0.03563333058710016,0.8269,2868050769
8b975a728ca1,angle,4,4,4,7,16,4,88,12,5,105,0.03713026692061416,0.9073,2994743945
8d75aa091e7c,angle,4,4,4,13,26,10,88,12,5,105,0.02565743972040341,1.0461,1507375914
8ddfbc4f643b,angle,4,4,4,14,25,13,88,12,5,105,0.022095547441218027,1.0387,2224023289
8e249f067bad,angle,4,4,4,18,27,15,88,12,5,105,0.037364024260933285,1.133,3213013316
8f62e9e3f581,angle,4,4,4,13,19,11,88,12,5,105,0.03470979838548776,1.0218,2365144095
8fea3c837ab6,angle,4,4,4,15,24,12,88,12,5,105,0.017423072395657175,1.0929,1281277707
9004f02d23b4,angle,4,4,4,11,20,8,88,12,5,105,0.026640541458884368,0.8879,1208284092
900aa8d34eaf,angle,4,4,4,9,19,7,88,12,5,105,0.019337845227198967,0.8675,3816869188
906f20894401,angle,4,4,4,10,23,7,88,12,5,105,0.03298572679103898,1.3229,3286561181
91e5529b4e5a,angle,4,4,4,11,26,6,88,12,5,105,0.0388504559297391,1.2434,1828161654
9258b879a16a,angle,4,4,4,7,19,3,88,12,5,105,0.020641069626030642,0.829,2991032537
9298c6e7278a,angle,4,4,4,12,25,9,88,12,5,105,0.021664311209489504,1.4096,127386594
93916413df33,angle,4,4,4,12,25,9,88,12,5,105,0.0318275146291149,0.9078,823413133
942e2f1e42a2,angle,4,4,4,16,26,14,88,12,5,105,0.01748553570840148,1.0724,3371385084
955df1cb61af,angle,4,4,4,13,22,10,88,12,5,105,0.022263717677851694,0.9901,3450146181
957aefa08a34,angle,4,4,4,15,27,11,88,12,5,105,0.020887567527446194,1.1583,1561439269
95b94d178edd,angle,4,4,4,10,16,8,88,12,5,105,0.03463894677981658,0.8932,1502102073
95b94d178edd,angle,4,4,4,10,16,8,88,12,5,105,0.038756014489468096,0.8875,3060890303
95fc707fab7b,angle,4,4,4,13,26,10,88,12,5,105,0.019882071180293556,0.9238,3756929459
97a32f68dbb1,angle,4,4,4,12,24,8,88,12,5,105,0.03745729730596179,1.047,4000901322
97a9fea463c4,angle,4,4,4,7,19,3,88,12,5,105,0.03453449129877463,0.8206,2170999003
97fc797ea1be,angle,4,4,4,8,20,4,88,12,5,105,0.024924826369363395,0.8962,2018862377
9904b7b570f4,angle,4,4,4,11,20,8,88,12,5,105,0.03539057983121211,0.9128,1825270981
99bd7cb33a0a,angle,4,4,4,14,22,14,88,12,5,105,0.022759234559452717,0.9959,168568295
9ad604f29ffc,angle,4,4,4,10,22,6,88,12,5,105,0.023895976056193622,0.8856,4103357109
9ad9b576edc6,angle,4,4,4,13,23,11,88,12,5,105,0.01584065379924945,1.1103,389583904
9bd63785281d,angle,4,4,4,10,19,7,88,12,5,105,0.017276128505453743,0.8148,1288424405
9ceb2d4f4a42,angle,4,4,4,7,16,4,88,12,5,105,0.029601572711538682,0.7614,369073680
9ceb2d4f4a42,angle,4,4,4,7,16,4,88,12,5,105,0.023428896719792525,0.8208,3814254325
9d3d9df7db75,angle,4,4,4,9,22,6,88,12,5,105,0.020189197778990507,0.766,3784744823
9d5a063356a2,angle,4,4,4,17,23,15,88,12,5,105,0.032928223774945156,0.9802,2227879884
9eaeedb418c6,angle,4,4,4,13,22,10,88,12,5,105,0.029477480442958958,0.907,680387303
a47c65c75332,angle,4,4,4,10,22,6,88,12,5,105,0.031148279209914483,0.9516,2476125241
a57b9bfff4ea,angle,4,4,4,4,16,0,88,12,5,105,0.037067039844491334,0.7816,4207547679
a5d4bf93423d,angle,4,4,4,12,22,10,88,12,5,105,0.02489000529139993,1.0022,1136544510
a65199330d09,angle,4,4,4,7,19,3,88,12,5,105,0.02154407027724521,0.8002,3780799860
a6a0373c4b3f,angle,4,4,4,13,26,10,88,12,5,105,0.022894278016968285,1.1053,971771522
a6c78bdc6771,angle,4,4,4,11,23,7,88,12,5,105,0.015440775551564678,1.0765,1295547868
a7b79167a48b,angle,4,4,4,7,16,4,88,12,5,105,0.03573604283655248,0.8006,1652287855
a7d65bdad6c4,angle,4,4,4,9,22,6,88,12,5,105,0.025712978389470915,0.8862,2783462531
a7e735c5993c,angle,4,4,4,15,27,11,88,12,5,105,0.023801942683838055,1.0131,457475925
a832a9e9b473,angle,4,4,4,15,24,12,88,12,5,105,0.02180346476125739,1.1004,1831008869
aac25e7d8468,angle,4,4,4,4,16,0,88,12,5,105,0.036162850402582686,0.7634,1697460900
aac25e7d8468,angle,4,4,4,4,16,0,88,12,5,105,0.03673503463620203,0.7144,2133831800
ab0f72e83e4e,angle,4,4,4,10,23,7,88,12,5,105,0.025667459353001673,1.0458,2878191001
ad31888f15f0,angle,4,4,4,10,19,7,88,12,5,105,0.02500703892691725,0.8524,3896716979
ae6343d66770,angle,4,4,4,7,16,4,88,12,5,105,0.025410376785144583,0.7974,3262897753
aea67b7c2242,angle,4,4,4,9,22,6,88,12,5,105,0.03290620778677518,0.9349,2996892546
aff2f1d6be55,angle,4,4,4,12,27,7,88,12,5,105,0.036575313530039046,1.1069,457605398
b38162d761bf,angle,4,4,4,11,25,9,88,12,5,105,0.014349298059282378,0.9232,624350430
b393daf5dc0a,angle,4,4,4,7,19,3,88,12,5,105,0.023501867478238195,0.8214,144080503
b393daf5dc0a,angle,4,4,4,7,19,3,88,12,5,105,0.019371081685703593,0.8623,1466243867
b594753a2461,angle,4,4,4,15,27,11,88,12,5,105,0.018413919013320866,1.0681,1171948525
b62ea45650c8,angle,4,4,4,20,26,18,88,12,5,105,0.032233732684387034,1.0177,2344903900
b75ccb812196,angle,4,4,4,10,23,7,88,12,5,105,0.02297806398609632,1.0361,1495698106
b8fb23fb397f,angle,4,4,4,7,19,3,88,12,5,105,0.03468698167168006,0.8263,3663959783
b911c67dae93,angle,4,4,4,12,27,7,88,12,5,105,0.019487587475409907,1.0738,889534331
b9614faab4f0,angle,4,4,4,11,23,7,88,12,5,105,0.025879349281698015,1.3152,494945239
ba93c591a12a,angle,4,4,4,7,19,3,88,12,5,105,0.03019909088154082,0.8688,3682828244
bacf645399ae,angle,4,4,4,11,23,7,88,12,5,105,0.021765502186185278,0.9335,958563988
bb1f3ce16620,angle,4,4,4,12,25,9,88,12,5,105,0.027456348422639734,0.9992,1556972209
bb215d5b0cd3,angle,4,4,4,10,19,7,88,12,5,105,0.028136943653997798,0.881,1337132862
bb7d47401a79,angle,4,4,4,12,26,10,88,12,5,105,0.020792444608800524,1.0977,1160195645
bd3dd1537429,angle,4,4,4,11,23,7,88,12,5,105,0.018138571749881156,0.9917,1127988994
bdcad8be0e2e,angle,4,4,4,16,22,14,88,12,5,105,0.03386050984821572,1.0374,2450262069
bdec55df117d,angle,4,4,4,8,20,4,88,12,5,105,0.016366171025753957,0.9071,2330309280
be2d3fd6e5a9,angle,4,4,4,4,16,0,88,12,5,105,0.030024648986737984,0.7471,495377083
be2d3fd6e5a9,angle,4,4,4,4,16,0,88,12,5,105,0.02813578035734816,0.7893,502189088
be2d3fd6e5a9,angle,4,4,4,4,16,0,88,12,5,105,0.03489229098660744,1.0131,2528528148
be6c9c8d0cf6,angle,4,4,4,7,19,3,88,12,5,105,0.0197109862976142,1.1165,327961780
bf1593c370d7,angle,4,4,4,13,23,11,88,12,5,105,0.029950175361217444,0.9925,1623811588
bf22ee537dc6,angle,4,4,4,9,22,6,88,12,5,105,0.030192808153916572,0.9195,1782323319
bf243143325e,angle,4,4,4,9,22,6,88,12,5,105,0.017189771771136703,0.8942,2357439025
bff30b1afefc,angle,4,4,4,14,26,10,88,12,5,105,0.017661590223507082,0.9402,3534405243
c06044b25e7e,angle,4,4,4,8,23,3,88,12,5,105,0.022504932047321673,1.0425,980448713
c179f37e9c4c,angle,4,4,4,13,26,10,88,12,5,105,0.01636343228656119,1.0016,3723485047
c1ac7d024ebd,angle,4,4,4,10,26,6,88,12,5,105,0.033656584072967656,1.1905,3768865015
c2dd9153cefe,angle,4,4,4,15,27,11,88,12,5,105,0.02593700566294476,1.1614,3426683444
c2eca951b3e6,angle,4,4,4,15,27,11,88,12,5,105,0.01668902036827378,1.1184,3540813312
