seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
3,LLM-Open,nn-chain-real,8,explore,False,,,,0.029642256478485396,0.06162151845497055,0.04416786167247788,0.9703577435215146,0.9383784815450295,0.9558321383275221
3,Random,R4,4,explore,False,,,,0.16051016946330532,0.23359299552684976,0.18926561431591904,0.8394898305366947,0.7664070044731502,0.810734385684081
4,Greedy,G7_acc,7,refine,False,,0.0625,,0.1472884031833711,0.17018162406871673,0.1556156624993571,0.8527115968166289,0.8298183759312833,0.8443843375006429
4,LLM-Closed,latent-centered-pull,2,explore,False,,0.9375,,0.03201092011090134,0.04027083446922497,0.03976087942090456,0.9679890798890987,0.959729165530775,0.9602391205790954
4,LLM-Open,nn-chain-real,8,explore,False,,,,0.03390297918586982,0.042483774643313765,0.04174341266209525,0.9660970208141302,0.9575162253566862,0.9582565873379048
4,Random,R6,6,explore,False,,,,0.11587565581226278,0.1369472397223438,0.1300923061627356,0.8841243441877372,0.8630527602776562,0.8699076938372644
5,Greedy,G5_acc,5,refine,False,,0.125,,0.19079097141808443,0.17429485836518432,0.15717541816697644,0.8092090285819156,0.8257051416348157,0.8428245818330236
5,LLM-Closed,latent-first-braid,2,explore,False,,0.375,,0.03514821692176939,0.030616092254356908,0.0288689986864632,0.9648517830782306,0.9693839077456431,0.9711310013135368
5,LLM-Open,nn-chain-real,8,explore,False,,,,0.04008492527749541,0.034785040463992445,0.03213078211850928,0.9599150747225046,0.9652149595360076,0.9678692178814907
5,Random,R2,2,explore,False,,,,0.2549523203868934,0.23623292612173452,0.21504834069908796,0.7450476796131066,0.7637670738782655,0.784951659300912
6,Greedy,G4_warm,4,explore,False,,0.0625,,0.1197663187712974,0.06059174289799618,0.13320340955872667,0.8802336812287026,0.9394082571020038,0.8667965904412733
6,LLM-Closed,latent-first-chain,2,explore,False,,0.25,,0.03409496282564817,0.013938522080766624,0.03921833022035304,0.9659050371743518,0.9860614779192334,0.960781669779647
6,LLM-Open,nn-chain-real,8,explore,False,,,,0.038910045371147506,0.016802126368196668,0.044868903049581466,0.9610899546288525,0.9831978736318033,0.9551310969504185
6,Random,R7,7,explore,False,,,,0.12268804829779367,0.06008226235878167,0.13662972413748764,0.8773119517022063,0.9399177376412183,0.8633702758625124
7,Greedy,G6_acc,6,refine,False,,0.125,,0.08616092166935196,0.08581444723748544,0.07991928509311907,0.913839078330648,0.9141855527625146,0.9200807149068809
7,LLM-Closed,nn-real-latent-trash-v2,5,refine,False,,0.6875,topology_redesign,0.037248826411000246,0.04036938499134324,0.03374265763551032,0.9627511735889998,0.9596306150086568,0.9662573423644897
7,LLM-Open,nn-chain-real,8,explore,False,,,,0.03974572196666437,0.04108020217257735,0.03406029460787596,0.9602542780333356,0.9589197978274226,0.965939705392124
7,Random,R1,1,explore,False,,,,0.15046628288956365,0.14169437044629707,0.13053692010860174,0.8495337171104363,0.8583056295537029,0.8694630798913983
8,Greedy,G6_acc,6,refine,False,,0.0625,,0.08248522813613834,0.0834626654224907,0.1069370954790777,0.9175147718638617,0.9165373345775093,0.8930629045209223
8,LLM-Closed,nn-real-braid-v1,8,refine,False,,0.375,topology_redesign,0.027621942760455154,0.02990799172331149,0.04257611046221643,0.9723780572395448,0.9700920082766885,0.9574238895377836
8,LLM-Open,nn-chain-real,8,explore,False,,,,0.030852962412599827,0.03316145366089085,0.04725672136205206,0.9691470375874002,0.9668385463391092,0.9527432786379479
8,Random,R2,2,explore,False,,,,0.14483914071087134,0.14733274043218658,0.1816709741879432,0.8551608592891287,0.8526672595678134,0.8183290258120568
9,Greedy,G5_acc,5,refine,False,,0.0625,,0.16881382077805496,0.18209410067013287,0.1593635784518016,0.831186179221945,0.8179058993298671,0.8406364215481984
9,LLM-Closed,mirror-latent-bottleneck,3,explore,False,,0.875,,0.030840240144339726,0.026823132090238233,0.029337488734562545,0.9691597598556603,0.9731768679097618,0.9706625112654375
9,LLM-Open,nn-chain-real,8,explore,False,,,,0.0404017421814159,0.03998857428780378,0.03699532916148407,0.9595982578185841,0.9600114257121962,0.9630046708385159
9,Random,R6,6,explore,False,,,,0.14066768505342864,0.1485482017374018,0.13173254264025758,0.8593323149465714,0.8514517982625982,0.8682674573597424
10,Greedy,G7_acc,7,refine,False,,0.0625,,0.32920707104109126,0.3310252819683758,0.3267362620777683,0.6707929289589087,0.6689747180316242,0.6732637379222317
10,LLM-Closed,nn-funnel-a,2,explore,False,,0.875,,0.036301815516014635,0.034446866400995035,0.03000829698015095,0.9636981844839854,0.965553133599005,0.969991703019849
10,LLM-Open,nn-chain-real,8,explore,False,,,,0.04278273113348097,0.03879134936368267,0.03275590717995158,0.957217268866519,0.9612086506363173,0.9672440928200484
10,Random,R8,8,explore,False,,,,0.25790999314030105,0.2738262189479407,0.28073573785019246,0.742090006859699,0.7261737810520593,0.7192642621498075
11,Greedy,G8_acc,8,refine,False,,0.0625,,0.02882669796761861,0.012982808723648653,0.02967121608524237,0.9711733020323814,0.9870171912763513,0.9703287839147576
11,LLM-Closed,nn-real-swapchain,8,refine,False,,0.875,topology_redesign,0.026809114025624914,0.012271342173334254,0.027360793761269875,0.9731908859743751,0.9877286578266657,0.9726392062387301
11,LLM-Open,nn-chain-real,8,explore,False,,,,0.04172289486423142,0.014740992752442117,0.04216454328924124,0.9582771051357686,0.9852590072475579,0.9578354567107588
11,Random,R3,3,explore,False,,,,0.18889547290402753,0.09441714748053842,0.1851314508582662,0.8111045270959725,0.9055828525194616,0.8148685491417338
