experiment,task,n_qubits,arm,replicate,data_seed,search_seed,budget_unique,val_metric_name,val_metric_value,primary_test_metric,primary_test_value,test_rmse,test_mae,test_auc,test_brier,num_proposed,num_valid,num_invalid,num_duplicate,num_failed,num_unique,stop_reason,logical_gate_count,logical_depth,two_qubit_count,parameter_count,transpiled_depth_line,transpiled_2q_line,llm_calls,llm_tokens,llm_cost_usd,llm_mock,model_snapshot
E3,gauss_peak,6,ref_strongent_d2,2,1002,2002,16,rmse,0.04910685658288657,test_rmse,0.04966145082538848,0.04966145082538848,0.03524801773649845,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,gauss_peak,6,ref_strongent_d2,3,1003,2003,16,rmse,0.06548533750371172,test_rmse,0.056162010675258146,0.056162010675258146,0.04313188305286212,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,gauss_peak,6,ref_strongent_d2,4,1004,2004,16,rmse,0.022166372282726183,test_rmse,0.023259002626251128,0.023259002626251128,0.017545158042939546,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,gauss_peak,8,evolutionary_structure,0,1000,2000,16,rmse,0.021128037757159813,test_rmse,0.02076050267728644,0.02076050267728644,0.015394104104192721,,,16,16,0,0,0,16,budget_exhausted,126,55,78,101,455,406,,,,,
E3,gauss_peak,8,evolutionary_structure,1,1001,2001,16,rmse,0.020070455620488103,test_rmse,0.02099725131716679,0.02099725131716679,0.014850809169073796,,,18,16,0,2,0,16,budget_exhausted,87,45,72,43,346,321,,,,,
E3,gauss_peak,8,evolutionary_structure,2,1002,2002,16,rmse,0.023127497711512925,test_rmse,0.02222845267666138,0.02222845267666138,0.015933758878869705,,,18,16,0,2,0,16,budget_exhausted,136,48,90,93,440,409,,,,,
E3,gauss_peak,8,evolutionary_structure,3,1003,2003,16,rmse,0.01911337460753206,test_rmse,0.019556530333004696,0.019556530333004696,0.013408886071313126,,,16,16,0,0,0,16,budget_exhausted,137,52,86,63,507,463,,,,,
E3,gauss_peak,8,evolutionary_structure,4,1004,2004,16,rmse,0.019845863713644357,test_rmse,0.019241789825181304,0.019241789825181304,0.014029589243301326,,,16,16,0,0,0,16,budget_exhausted,102,37,58,59,230,218,,,,,
E3,gauss_peak,8,random_structure,0,1000,2000,16,rmse,0.019260352443927403,test_rmse,0.019027036230930806,0.019027036230930806,0.013814474364716684,,,16,16,0,0,0,16,budget_exhausted,133,44,58,83,311,242,,,,,
E3,gauss_peak,8,random_structure,1,1001,2001,16,rmse,0.020512142478908254,test_rmse,0.022189314406555843,0.022189314406555843,0.014863987839629791,,,16,16,0,0,0,16,budget_exhausted,79,42,44,54,228,197,,,,,
E3,gauss_peak,8,random_structure,2,1002,2002,16,rmse,0.02184169510156193,test_rmse,0.022088850885670832,0.022088850885670832,0.015400046078464798,,,16,16,0,0,0,16,budget_exhausted,108,33,72,91,364,296,,,,,
E3,gauss_peak,8,random_structure,3,1003,2003,16,rmse,0.019796888050382835,test_rmse,0.020359951409875274,0.020359951409875274,0.01396986485151248,,,16,16,0,0,0,16,budget_exhausted,84,30,51,68,341,258,,,,,
E3,gauss_peak,8,random_structure,4,1004,2004,16,rmse,0.021510167321809673,test_rmse,0.02058845975889888,0.02058845975889888,0.015143776973968412,,,16,16,0,0,0,16,budget_exhausted,124,40,48,99,390,268,,,,,
E3,gauss_peak,8,ref_strongent_d2,0,1000,2000,16,rmse,0.04362015422624871,test_rmse,0.0442913167524905,0.0442913167524905,0.034797554474049905,,,1,1,0,0,0,1,arm_exhausted,65,23,16,48,63,57,,,,,
E3,gauss_peak,8,ref_strongent_d2,1,1001,2001,16,rmse,0.01978236546877558,test_rmse,0.02163191950170572,0.02163191950170572,0.01519928309882142,,,1,1,0,0,0,1,arm_exhausted,65,23,16,48,63,57,,,,,
E3,gauss_peak,8,ref_strongent_d2,2,1002,2002,16,rmse,0.05406388163018167,test_rmse,0.05209956883758304,0.05209956883758304,0.03749388856602523,,,1,1,0,0,0,1,arm_exhausted,65,23,16,48,63,57,,,,,
E3,gauss_peak,8,ref_strongent_d2,3,1003,2003,16,rmse,0.04095766077441116,test_rmse,0.040411555825230136,0.040411555825230136,0.032661766013261796,,,1,1,0,0,0,1,arm_exhausted,65,23,16,48,63,57,,,,,
E3,gauss_peak,8,ref_strongent_d2,4,1004,2004,16,rmse,0.050727599270506726,test_rmse,0.05081388478347457,0.05081388478347457,0.040064134168857325,,,1,1,0,0,0,1,arm_exhausted,65,23,16,48,63,57,,,,,
E3,sin_freq,3,evolutionary_structure,0,1000,2000,16,rmse,0.068603044853309,test_rmse,0.07540638947809798,0.07540638947809798,0.05518738367554167,,,18,16,0,2,0,16,budget_exhausted,12,9,6,9,64,18,,,,,
E3,sin_freq,3,evolutionary_structure,1,1001,2001,16,rmse,0.13923520692840455,test_rmse,0.14435000112831115,0.14435000112831115,0.11641831766906836,,,20,16,0,4,0,16,budget_exhausted,12,8,5,11,43,13,,,,,
