task,n_qubits,arm,replicate,logical_gate_count,logical_depth,two_qubit_count,controlled_rotation_count,parameter_count,transpiled_depth_line,transpiled_depth_ring,transpiled_depth_all_to_all,transpiled_2q_line,transpiled_2q_ring,transpiled_2q_all_to_all
gauss_peak,6,ref_strongent_d2,1,49,19,12,0,36,50,24,24,35,12,12
gauss_peak,6,ref_strongent_d2,2,49,19,12,0,36,50,24,24,35,12,12
gauss_peak,6,ref_strongent_d2,3,49,19,12,0,36,50,24,24,35,12,12
gauss_peak,6,ref_strongent_d2,4,49,19,12,0,36,50,24,24,35,12,12
gauss_peak,8,evolutionary_structure,0,126,55,78,54,101,455,454,192,406,333,132
gauss_peak,8,evolutionary_structure,1,87,45,72,29,43,346,271,182,321,212,101
gauss_peak,8,evolutionary_structure,2,136,48,90,48,93,440,401,141,409,385,136
gauss_peak,8,evolutionary_structure,3,137,52,86,44,63,507,457,181,463,376,130
gauss_peak,8,evolutionary_structure,4,102,37,58,16,59,230,231,90,218,212,74
gauss_peak,8,random_structure,0,133,44,58,23,83,311,282,153,242,205,79
gauss_peak,8,random_structure,1,79,42,44,22,54,228,206,158,197,117,64
gauss_peak,8,random_structure,2,108,33,72,63,91,364,394,208,296,307,135
gauss_peak,8,random_structure,3,84,30,51,44,68,341,320,162,258,226,95
gauss_peak,8,random_structure,4,124,40,48,40,99,390,302,144,268,202,88
gauss_peak,8,ref_strongent_d2,0,65,23,16,0,48,63,28,28,57,16,16
gauss_peak,8,ref_strongent_d2,1,65,23,16,0,48,63,28,28,57,16,16
gauss_peak,8,ref_strongent_d2,2,65,23,16,0,48,63,28,28,57,16,16
gauss_peak,8,ref_strongent_d2,3,65,23,16,0,48,63,28,28,57,16,16
gauss_peak,8,ref_strongent_d2,4,65,23,16,0,48,63,28,28,57,16,16
sin_freq,3,evolutionary_structure,0,12,9,6,6,9,64,57,57,18,12,12
sin_freq,3,evolutionary_structure,1,12,8,5,5,11,43,33,33,13,10,10
sin_freq,3,evolutionary_structure,2,13,9,6,3,9,55,39,39,15,9,9
sin_freq,3,evolutionary_structure,3,12,11,10,10,10,59,52,52,27,20,20
sin_freq,3,evolutionary_structure,4,12,10,7,5,9,58,51,51,18,12,12
sin_freq,3,random_structure,0,7,5,2,2,6,21,21,21,4,4,4
sin_freq,3,random_structure,1,14,10,7,5,11,39,35,35,13,10,10
sin_freq,3,random_structure,2,17,11,7,5,14,63,47,47,18,12,12
sin_freq,3,random_structure,3,13,8,3,3,9,21,21,21,6,6,6
sin_freq,3,random_structure,4,15,10,7,7,10,40,33,33,20,14,14
sin_freq,3,ref_strongent_d2,0,25,13,6,0,18,30,18,18,12,6,6
sin_freq,3,ref_strongent_d2,1,25,13,6,0,18,30,18,18,12,6,6
sin_freq,3,ref_strongent_d2,2,25,13,6,0,18,30,18,18,12,6,6
sin_freq,3,ref_strongent_d2,3,25,13,6,0,18,30,18,18,12,6,6
sin_freq,3,ref_strongent_d2,4,25,13,6,0,18,30,18,18,12,6,6
sin_freq,4,evolutionary_structure,0,20,12,11,7,11,60,57,52,27,21,18
sin_freq,4,evolutionary_structure,1,31,17,15,9,24,102,78,69,48,30,24
sin_freq,4,evolutionary_structure,2,20,13,13,7,11,80,77,50,41,29,20
sin_freq,4,evolutionary_structure,3,31,16,12,12,22,138,109,92,48,36,24
sin_freq,4,evolutionary_structure,4,21,15,12,12,12,101,88,86,46,30,24
sin_freq,4,random_structure,0,30,20,17,10,22,122,96,82,55,36,27
sin_freq,4,random_structure,1,24,15,15,7,15,87,68,49,42,31,22
sin_freq,4,random_structure,2,25,12,9,9,18,77,68,60,27,21,18
sin_freq,4,random_structure,3,23,14,13,13,22,86,75,67,32,32,26
sin_freq,4,random_structure,4,31,21,20,14,18,115,108,95,64,46,34
sin_freq,4,ref_strongent_d2,0,33,15,8,0,24,33,20,20,22,8,8
sin_freq,4,ref_strongent_d2,1,33,15,8,0,24,33,20,20,22,8,8
sin_freq,4,ref_strongent_d2,2,33,15,8,0,24,33,20,20,22,8,8
sin_freq,4,ref_strongent_d2,3,33,15,8,0,24,33,20,20,22,8,8
sin_freq,4,ref_strongent_d2,4,33,15,8,0,24,33,20,20,22,8,8
sin_freq,6,evolutionary_structure,0,48,23,23,17,29,103,83,74,79,51,40
sin_freq,6,evolutionary_structure,1,63,31,56,35,35,248,209,90,229,185,91
sin_freq,6,evolutionary_structure,2,86,40,60,18,42,290,222,128,247,172,78
sin_freq,6,evolutionary_structure,3,33,15,21,21,32,137,91,66,102,69,42
sin_freq,6,evolutionary_structure,4,32,22,26,20,25,120,120,78,89,70,46
sin_freq,6,random_structure,0,53,33,38,32,46,206,178,122,177,106,70
sin_freq,6,random_structure,1,78,36,58,52,65,305,261,186,248,195,110
sin_freq,6,random_structure,2,75,27,32,24,48,198,155,98,147,113,56
sin_freq,6,random_structure,3,74,35,53,48,62,265,242,131,219,189,101
sin_freq,6,random_structure,4,68,38,52,36,43,267,237,185,206,131,88
sin_freq,6,ref_strongent_d2,0,49,19,12,0,36,50,24,24,35,12,12
sin_freq,6,ref_strongent_d2,1,49,19,12,0,36,50,24,24,35,12,12
sin_freq,6,ref_strongent_d2,2,49,19,12,0,36,50,24,24,35,12,12
sin_freq,6,ref_strongent_d2,3,49,19,12,0,36,50,24,24,35,12,12
sin_freq,6,ref_strongent_d2,4,49,19,12,0,36,50,24,24,35,12,12
sin_freq,8,evolutionary_structure,0,119,45,78,56,85,433,371,176,426,315,134
sin_freq,8,evolutionary_structure,1,31,11,8,0,18,58,38,38,26,8,8
sin_freq,8,evolutionary_structure,2,118,62,55,47,109,370,246,218,297,127,102
sin_freq,8,evolutionary_structure,3,179,77,147,125,156,918,761,357,831,676,272
sin_freq,8,evolutionary_structure,4,142,73,116,105,106,601,507,321,635,480,221
sin_freq,8,random_structure,0,112,41,37,37,101,322,246,170,221,138,74
sin_freq,8,random_structure,1,131,49,90,70,110,498,471,265,491,385,160
sin_freq,8,random_structure,2,115,58,97,71,88,500,408,231,463,313,168
sin_freq,8,random_structure,3,53,24,30,30,48,214,161,136,139,71,60
sin_freq,8,random_structure,4,110,46,93,86,102,594,484,321,467,376,179
sin_freq,8,ref_strongent_d2,0,65,23,16,0,48,63,28,28,57,16,16
sin_freq,8,ref_strongent_d2,1,65,23,16,0,48,63,28,28,57,16,16
sin_freq,8,ref_strongent_d2,2,65,23,16,0,48,63,28,28,57,16,16
sin_freq,8,ref_strongent_d2,3,65,23,16,0,48,63,28,28,57,16,16
sin_freq,8,ref_strongent_d2,4,65,23,16,0,48,63,28,28,57,16,16
