pair,split,seed,entangled_bae,product_bae,entangled_two_qubit,gate_count_mismatch,param_count_preserved,diff_product_minus_entangled
8,1,1,0.028174603174603186,0.028174603174603186,14,-2,True,0.0
8,1,2,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
9,1,0,0.014285714285714235,0.014285714285714235,4,0,True,0.0
9,1,1,0.04246031746031753,0.028174603174603186,4,0,True,-0.014285714285714346
9,1,2,0.014285714285714235,0.014285714285714235,4,0,True,0.0
10,1,0,0.028174603174603186,0.028174603174603186,10,-2,True,0.0
10,1,1,0.014285714285714235,0.028174603174603186,10,-2,True,0.01388888888888895
10,1,2,0.028174603174603186,0.028174603174603186,10,-2,True,0.0
11,1,0,0.014285714285714235,0.014285714285714235,4,0,True,0.0
11,1,1,0.028174603174603186,0.028174603174603186,4,0,True,0.0
11,1,2,0.028174603174603186,0.028174603174603186,4,0,True,0.0
12,1,0,0.028174603174603186,0.028174603174603186,7,-1,True,0.0
12,1,1,0.028174603174603186,0.014285714285714235,7,-1,True,-0.01388888888888895
12,1,2,0.028174603174603186,0.028174603174603186,7,-1,True,0.0
13,1,0,0.02857142857142858,0.028174603174603186,10,-2,True,-0.0003968253968253954
13,1,1,0.014285714285714235,0.014285714285714235,10,-2,True,0.0
13,1,2,0.028174603174603186,0.014285714285714235,10,-2,True,-0.01388888888888895
14,1,0,0.028174603174603186,0.028174603174603186,4,0,True,0.0
14,1,1,0.014285714285714235,0.014285714285714235,4,0,True,0.0
14,1,2,0.014285714285714235,0.5,4,0,True,0.48571428571428577
15,1,0,0.028174603174603186,0.028174603174603186,3,-1,True,0.0
15,1,1,0.028174603174603186,0.028174603174603186,3,-1,True,0.0
15,1,2,0.028174603174603186,0.014285714285714235,3,-1,True,-0.01388888888888895
16,1,0,0.028174603174603186,0.014285714285714235,18,-2,True,-0.01388888888888895
16,1,1,0.014285714285714235,0.02857142857142858,18,-2,True,0.014285714285714346
16,1,2,0.028174603174603186,0.028174603174603186,18,-2,True,0.0
17,1,0,0.028174603174603186,0.014285714285714235,8,0,True,-0.01388888888888895
