run_id,arm,split,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_balacc_error,test_auc,test_accuracy,test_logloss,test_brier
controlled_greedy_split2_s5,controlled_greedy,2,5,25,0,1,0,25,0.023059814116084876,0.042063492063492136,0.9976190476190476,0.9577464788732394,0.06699005742294345,0.024023088900266644
controlled_random_split3_s0,controlled_random,3,0,25,0,1,0,24,0.0490707612071472,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.044307261521348604,0.013983249238142991
controlled_random_split3_s1,controlled_random,3,1,25,0,2,0,23,0.04517584548861028,0.028174603174603186,0.9984126984126984,0.971830985915493,0.04463623040531358,0.013858817874410049
controlled_random_split3_s2,controlled_random,3,2,25,0,0,0,25,0.04004181755171801,0.01388888888888884,1.0,0.9859154929577465,0.034607662099555576,0.009458756284436301
controlled_random_split3_s3,controlled_random,3,3,25,0,1,0,24,0.04167939908240191,0.028174603174603186,0.9992063492063492,0.971830985915493,0.04201881675578125,0.012911328318452422
controlled_random_split3_s4,controlled_random,3,4,25,0,0,0,25,0.04354238098582888,0.028174603174603186,0.9992063492063492,0.971830985915493,0.0446994600125609,0.01279080227735176
controlled_random_split3_s5,controlled_random,3,5,25,0,0,0,25,0.04379202316200759,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.03961466928458461,0.011893203189259263
controlled_evolutionary_split3_s0,controlled_evolutionary,3,0,25,0,7,0,18,0.04737439754428633,0.028174603174603186,0.9992063492063492,0.971830985915493,0.04223360341432052,0.012278383847468833
controlled_evolutionary_split3_s1,controlled_evolutionary,3,1,25,0,8,0,18,0.04569365558175335,0.01388888888888884,1.0,0.9859154929577465,0.03573340313694692,0.00909213450492041
controlled_evolutionary_split3_s2,controlled_evolutionary,3,2,25,0,2,0,23,0.04130238239800668,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.03904655664544557,0.011615455333451248
controlled_evolutionary_split3_s3,controlled_evolutionary,3,3,25,0,7,0,18,0.047026867517861594,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.03849054996451506,0.010908390205076739
controlled_evolutionary_split3_s4,controlled_evolutionary,3,4,25,0,6,0,19,0.04319047217430191,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.037884966112276014,0.011058652529056861
controlled_evolutionary_split3_s5,controlled_evolutionary,3,5,25,0,5,0,20,0.044225161080165186,0.02777777777777779,0.9992063492063492,0.971830985915493,0.06307894243762562,0.021149004018719633
controlled_greedy_split3_s0,controlled_greedy,3,0,25,0,0,0,25,0.043922240766347306,0.028174603174603186,0.9992063492063492,0.971830985915493,0.039130896926794306,0.011575406437755833
controlled_greedy_split3_s1,controlled_greedy,3,1,25,0,0,0,25,0.04333746448538573,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.038526818168667674,0.011336677914334493
controlled_greedy_split3_s2,controlled_greedy,3,2,25,0,2,0,23,0.040165729040944634,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.04203981021956005,0.01269527786748775
