arch,split,seed,two_qubit,hash,trainable_bae,frozen_bae,diff_frozen_minus_trainable
6,2,0,6,34a287dcab,0.5,0.028174603174603186,-0.4718253968253968
6,2,1,6,34a287dcab,0.05634920634920637,0.014285714285714235,-0.042063492063492136
6,2,2,6,34a287dcab,0.042063492063492136,0.042063492063492136,0.0
7,2,0,10,6d4b435a9f,0.04246031746031753,0.04246031746031753,0.0
7,2,1,10,6d4b435a9f,0.042063492063492136,0.05634920634920637,0.014285714285714235
7,2,2,10,6d4b435a9f,0.042063492063492136,0.042063492063492136,0.0
8,2,0,11,15ad2f058c,0.042063492063492136,0.042063492063492136,0.0
8,2,1,11,15ad2f058c,0.042063492063492136,0.028174603174603186,-0.01388888888888895
8,2,2,11,15ad2f058c,0.042063492063492136,0.05634920634920637,0.014285714285714235
9,2,0,3,cf6d8389ab,0.5,0.04246031746031753,-0.45753968253968247
9,2,1,3,cf6d8389ab,0.05634920634920637,0.04246031746031753,-0.01388888888888884
9,2,2,3,cf6d8389ab,0.05634920634920637,0.05634920634920637,0.0
10,2,0,4,82fb2626cb,0.042063492063492136,0.042063492063492136,0.0
10,2,1,4,82fb2626cb,0.028174603174603186,0.014285714285714235,-0.01388888888888895
10,2,2,4,82fb2626cb,0.05634920634920637,0.04246031746031753,-0.01388888888888884
11,2,0,7,429788f685,0.028174603174603186,0.014285714285714235,-0.01388888888888895
11,2,1,7,429788f685,0.042063492063492136,0.042063492063492136,0.0
11,2,2,7,429788f685,0.02857142857142858,0.028174603174603186,-0.0003968253968253954
12,2,0,10,e391e0794e,0.028174603174603186,0.042063492063492136,0.01388888888888895
12,2,1,10,e391e0794e,0.05634920634920637,0.05634920634920637,0.0
12,2,2,10,e391e0794e,0.042063492063492136,0.05634920634920637,0.014285714285714235
13,2,0,4,f58e85e5f2,0.04246031746031753,0.04246031746031753,0.0
13,2,1,4,f58e85e5f2,0.05634920634920637,0.02857142857142858,-0.02777777777777779
13,2,2,4,f58e85e5f2,0.05634920634920637,0.05634920634920637,0.0
14,2,0,0,39d61cca49,0.028174603174603186,0.028174603174603186,0.0
14,2,1,0,39d61cca49,0.042063492063492136,0.042063492063492136,0.0
14,2,2,0,39d61cca49,0.042063492063492136,0.05634920634920637,0.014285714285714235
15,2,0,6,e57263a96f,0.05634920634920637,0.05634920634920637,0.0
15,2,1,6,e57263a96f,0.04246031746031753,0.04246031746031753,0.0
15,2,2,6,e57263a96f,0.05634920634920637,0.042063492063492136,-0.014285714285714235
16,2,0,8,e6b930e1ec,0.042063492063492136,0.042063492063492136,0.0
16,2,1,8,e6b930e1ec,0.05634920634920637,0.05634920634920637,0.0
16,2,2,8,e6b930e1ec,0.05634920634920637,0.05634920634920637,0.0
17,2,0,15,30651eac8c,0.04246031746031753,0.028174603174603186,-0.014285714285714346
17,2,1,15,30651eac8c,0.04246031746031753,0.04246031746031753,0.0
17,2,2,15,30651eac8c,0.028174603174603186,0.02857142857142858,0.0003968253968253954
18,2,0,4,b2beed92b8,0.05634920634920637,0.028174603174603186,-0.028174603174603186
18,2,1,4,b2beed92b8,0.05634920634920637,0.05634920634920637,0.0
18,2,2,4,b2beed92b8,0.028174603174603186,0.042063492063492136,0.01388888888888895
19,2,0,4,bd551d07e4,0.02857142857142858,0.02857142857142858,0.0
19,2,1,4,bd551d07e4,0.05634920634920637,0.02857142857142858,-0.02777777777777779
19,2,2,4,bd551d07e4,0.05634920634920637,0.05634920634920637,0.0
0,3,0,11,4aa15215d5,0.01388888888888884,0.0,-0.01388888888888884
0,3,1,11,4aa15215d5,0.02777777777777779,0.02777777777777779,0.0
0,3,2,11,4aa15215d5,0.01388888888888884,0.01388888888888884,0.0
1,3,0,8,af0a201762,0.01388888888888884,0.01388888888888884,0.0
1,3,1,8,af0a201762,0.01388888888888884,0.01388888888888884,0.0
1,3,2,8,af0a201762,0.01388888888888884,0.01388888888888884,0.0
2,3,0,4,59607d3f4d,0.01388888888888884,0.01388888888888884,0.0
2,3,1,4,59607d3f4d,0.01388888888888884,0.02777777777777779,0.01388888888888895
2,3,2,4,59607d3f4d,0.02777777777777779,0.02777777777777779,0.0
3,3,0,3,c06c9cabd3,0.01388888888888884,0.02777777777777779,0.01388888888888895
3,3,1,3,c06c9cabd3,0.01388888888888884,0.02777777777777779,0.01388888888888895
3,3,2,3,c06c9cabd3,0.014285714285714235,0.01388888888888884,-0.0003968253968253954
4,3,0,0,80efcde460,0.02777777777777779,0.01388888888888884,-0.01388888888888895
4,3,1,0,80efcde460,0.01388888888888884,0.02777777777777779,0.01388888888888895
4,3,2,0,80efcde460,0.02777777777777779,0.02777777777777779,0.0
5,3,0,14,f41cafbf04,0.02777777777777779,0.01388888888888884,-0.01388888888888895
5,3,1,14,f41cafbf04,0.01388888888888884,0.01388888888888884,0.0
5,3,2,14,f41cafbf04,0.01388888888888884,0.02777777777777779,0.01388888888888895
