split,structural_hash,depth,gate_count,two_qubit_gate_count,total_trainable_params,val_logloss,wall_clock_seconds
0,82385199fc7f,17,27,15,61,0.04086103640309691,1.5236
0,82741cbc2658,14,23,11,61,0.04005875866426651,1.4739
0,82a6995d4eda,16,28,12,61,0.04855814104911352,1.5602
0,8386e31144d3,11,23,7,61,0.05959575418442794,1.369
0,83cb5fb3aa7f,10,22,6,61,0.0286038754621223,1.269
0,845ac9fb9182,14,25,13,61,0.06076050130423706,1.622
0,847cf54f950c,16,28,12,61,0.04091594678943952,1.5523
0,84a618dca2c7,14,27,11,61,0.057077168694944475,1.6481
0,84b3e78eeddf,11,20,8,61,0.04586228242512497,1.517
0,84f9fd7e6e21,18,25,17,61,0.05696858185931116,1.4671
0,86859ecbabd8,12,27,7,61,0.049872551081356443,1.4457
0,86cd9ed59ffd,14,27,11,61,0.04732252855858696,1.4524
0,87db0726133c,14,23,11,61,0.03004466901427439,1.4142
0,880b6af94720,10,19,7,61,0.055705034036616335,1.3653
0,885a0049959a,17,25,17,61,0.05053953118077817,1.4846
0,8a1b91cc9467,4,16,0,61,0.04933678536428519,0.9731
0,8b00213559ef,10,23,7,61,0.050996526217755384,1.3219
0,8b3f5c70e7ed,13,23,11,61,0.05893321824532148,1.3537
0,8b975a728ca1,7,16,4,61,0.05646268412036753,1.1926
0,8b975a728ca1,7,16,4,61,0.04574114087923811,1.2409
0,8be7939ab660,15,27,11,61,0.053147311070131126,1.4131
0,8e249f067bad,18,27,15,61,0.053366529913624394,1.6297
0,8e6c56226a8f,14,23,11,61,0.03887545150271822,1.2681
0,8ed88cb69d4b,15,27,11,61,0.04725995985078616,1.5811
0,8fbe1c4cbc13,9,24,4,61,0.04305902454823136,1.3405
0,8fea3c837ab6,15,24,12,61,0.04853203771521003,1.3659
0,9004f02d23b4,11,20,8,61,0.04143416597684516,1.2766
0,910cf8c0bfc7,10,26,6,61,0.03825749532219547,1.3605
0,917e3761e6bd,8,23,3,61,0.04948018981696152,1.2098
0,91dbdbc0e1f5,14,26,10,61,0.056707200151470856,1.2191
0,9298c6e7278a,12,25,9,61,0.04911283061056101,1.1833
0,93916413df33,12,25,9,61,0.03446880903735218,1.2322
0,9522ffff6e1b,9,22,6,61,0.06156025776807531,1.2559
0,955df1cb61af,13,22,10,61,0.061116669074401435,1.4558
0,95b94d178edd,10,16,8,61,0.05480063539304077,1.425
0,95b94d178edd,10,16,8,61,0.05689421571669709,1.1694
0,95b94d178edd,10,16,8,61,0.03315297165770567,1.268
0,979aaf82f6a5,15,27,11,61,0.03811182356027719,1.39
0,97a9fea463c4,7,19,3,61,0.04488949120656079,1.1432
0,97fc797ea1be,8,20,4,61,0.0693077166877653,1.1723
0,987b17979f41,17,27,15,61,0.043549488068535556,1.4719
0,9897b38621dc,14,25,13,61,0.04332979452531663,1.4676
0,99bd7cb33a0a,14,22,14,61,0.05296444934816108,1.558
0,9aac81f2230c,15,27,11,61,0.06098100557731369,1.4222
0,9ad604f29ffc,10,22,6,61,0.062488791872490346,1.1924
0,9ceb2d4f4a42,7,16,4,61,0.05527542000103607,1.0821
0,9ceb2d4f4a42,7,16,4,61,0.04977161643451257,1.1001
0,9d3d9df7db75,9,22,6,61,0.03687274158383679,1.1905
0,9d5a063356a2,17,23,15,61,0.05381017328070008,1.36
0,9d5a70b6237f,11,27,7,61,0.05343627517397388,1.4537
0,9d95d3b066d5,11,27,7,61,0.046478892630686254,1.413
0,9eaeedb418c6,13,22,10,61,0.04644638345883382,1.568
0,a0691b526227,14,20,12,61,0.04345333708402274,1.5354
0,a11a5001edcc,5,20,0,61,0.06765778667278081,1.0752
0,a1bfe389054b,11,27,7,61,0.0640372991304454,1.564
0,a269c893d5e9,14,27,11,61,0.04947982740442588,1.616
0,a28d26fa1ddd,10,23,7,61,0.05748729277628999,1.3738
0,a2fe832011fe,15,27,11,61,0.0886551061890421,1.6174
0,a425538ddabd,11,23,7,61,0.047727192058849885,1.2938
0,a4d461e9eb9e,10,23,7,61,0.06013317517806682,1.3332
0,a57b9bfff4ea,4,16,0,61,0.048472541982160076,1.0613
0,a5d4bf93423d,12,22,10,61,0.048014018301545176,1.5295
0,a5e9d0e944dc,10,26,6,61,0.054750751281059565,1.5431
0,a5f9ff86e62f,13,28,8,61,0.050657739986563734,1.4885
0,a70ed100eec4,7,19,3,61,0.03975218885107899,1.1515
0,a75f09094b49,20,27,19,61,0.06080227287175445,1.6169
0,a7b79167a48b,7,16,4,61,0.05174282367801827,1.1221
0,a7e735c5993c,15,27,11,61,0.02855270708357473,1.5762
0,a967efb05c9e,17,26,14,61,0.04226105566696644,1.5597
0,aac25e7d8468,4,16,0,61,0.04643659426273873,0.9937
0,aac25e7d8468,4,16,0,61,0.043866582098406756,1.091
0,ab0f72e83e4e,10,23,7,61,0.04015928028909922,1.3415
0,ad31888f15f0,10,19,7,61,0.034150966909114074,1.1925
0,ad4196a0aff0,10,23,7,61,0.057993798337590025,1.3895
0,ae6343d66770,7,16,4,61,0.04367289861824443,1.0807
0,aea67b7c2242,9,22,6,61,0.04774899310491067,1.248
0,afd780ec355d,10,26,6,61,0.04694256251951475,1.4596
0,aff2f1d6be55,12,27,7,61,0.052675667209765145,1.4568
0,b0fc08291f0f,7,16,4,61,0.07598301380543204,1.1453
0,b133f0f7ee49,10,22,6,61,0.048623068315612014,1.2846
0,b16045dbd255,12,24,8,61,0.03044510325718734,1.3459
0,b34f0aeebc34,13,25,9,61,0.05077916624690486,1.3592
0,b38162d761bf,11,25,9,61,0.06361504571699686,1.3751
0,b393daf5dc0a,7,19,3,61,0.054858232864647354,1.3405
0,b39ac086e971,7,19,3,61,0.05527583888174045,1.0826
0,b3a6232775e1,9,22,6,61,0.058976832875029785,1.1931
0,b563210a19d8,14,27,11,61,0.048656161855617275,1.4215
0,b62ea45650c8,20,26,18,61,0.05920138811895729,1.4411
0,b75ccb812196,10,23,7,61,0.03930863079087016,1.2982
0,b7d90b7a2764,16,28,12,61,0.03757300407903346,1.4744
0,b911c67dae93,12,27,7,61,0.06446330942557474,1.4078
0,b9a8803dad88,5,20,0,61,0.05577300631430937,1.1503
0,ba93c591a12a,7,19,3,61,0.04620367624860704,1.3189
0,bb4649af522b,14,27,11,61,0.04476206259045076,1.3456
0,bdcad8be0e2e,16,22,14,61,0.04012490739543747,1.63
0,be2d3fd6e5a9,4,16,0,61,0.06239070130173466,1.2407
0,be2d3fd6e5a9,4,16,0,61,0.05654638947040983,1.1992
0,be2d3fd6e5a9,4,16,0,61,0.07875133768332661,1.0287
0,bf1593c370d7,13,23,11,61,0.04479737859298721,1.5457
0,c01791dda5e1,8,23,3,61,0.05136157869090082,1.3602
0,c027b3ff6837,16,28,12,61,0.06328291807933845,1.3937
0,c06044b25e7e,8,23,3,61,0.049583652868706106,1.3753
0,c1585f38b8c3,15,27,11,61,0.039516192970279675,1.3606
0,c19525470e9c,11,20,8,61,0.05096147369728548,1.2259
0,c1ac7d024ebd,10,26,6,61,0.05143423803417667,1.3618
0,c349461a4995,14,27,11,61,0.059679519484176984,1.4211
0,c4a6e0705920,10,19,7,61,0.054679907792603816,1.2184
0,c4b275faa8c4,15,27,11,61,0.04500808216342267,1.537
0,c4b8a7bdc3b7,9,19,7,61,0.05788113271261708,1.4272
0,c527d4e4bea6,5,20,0,61,0.051840749378663425,1.3283
0,c67c2d007731,7,19,3,61,0.061721329617609094,1.083
0,c7adfd9cc5ed,16,28,12,61,0.056251107965357816,1.4207
0,c7e02d89194a,10,26,6,61,0.05335759430802213,1.3527
0,c7f863da692b,12,19,11,61,0.04308467907952793,1.3217
0,c8d1cf58fd96,15,27,11,61,0.05025121402641427,1.6254
0,c90a530e4042,7,16,4,61,0.05153743290989602,1.156
0,c930e762a2cc,14,27,11,61,0.04467557086353105,1.3441
0,c951a367d806,10,22,6,61,0.05544386422897126,1.2403
