split,seed,baseline,total_params,balanced_accuracy_error,accuracy,auc,logloss
1,2,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.06409496660085898
1,2,C6_fair_nas,129,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07907934615278225
1,3,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,3,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,3,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,3,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,3,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
1,3,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9984126984126984,0.0714442279092362
1,3,C6_fair_nas,49,0.04246031746031753,0.9577464788732394,0.9976190476190476,0.10302601488488015
1,4,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,4,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,4,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,4,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,4,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
1,4,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9984126984126984,0.06932189418889459
1,4,C6_fair_nas,97,0.056746031746031766,0.9436619718309859,0.9936507936507936,0.21051643565181116
1,5,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,5,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,5,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,5,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,5,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
1,5,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9984126984126984,0.06737880376911697
1,5,C6_fair_nas,63,0.02857142857142858,0.971830985915493,0.9976190476190476,0.0988640314191444
2,0,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,0,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,0,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,0,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,0,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,0,C5_fixed_mlp,49,0.05634920634920637,0.9436619718309859,0.996031746031746,0.09721220703943691
2,0,C6_fair_nas,97,0.02857142857142858,0.971830985915493,0.9976190476190476,0.09402492925758903
2,1,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,1,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,1,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,1,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,1,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,1,C5_fixed_mlp,49,0.05634920634920637,0.9436619718309859,0.9968253968253968,0.09111796060771135
2,1,C6_fair_nas,91,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.07148701883653734
2,2,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,2,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,2,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,2,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,2,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,2,C5_fixed_mlp,49,0.02857142857142858,0.971830985915493,0.9968253968253968,0.08924496393145406
2,2,C6_fair_nas,73,0.05634920634920637,0.9436619718309859,0.9968253968253968,0.09908197081000802
2,3,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,3,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,3,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,3,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,3,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,3,C5_fixed_mlp,49,0.05634920634920637,0.9436619718309859,0.9968253968253968,0.09531764037586725
2,3,C6_fair_nas,97,0.05634920634920637,0.9436619718309859,0.9968253968253968,0.08670402555242136
2,4,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,4,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,4,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,4,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,4,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,4,C5_fixed_mlp,49,0.042063492063492136,0.9577464788732394,0.9968253968253968,0.08422609545738848
2,4,C6_fair_nas,91,0.05634920634920637,0.9436619718309859,0.9968253968253968,0.1045887885757095
2,5,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
2,5,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.06681080343169693
2,5,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.04477483421458572
2,5,C3_rbf_svm,,0.0,1.0,1.0,0.035510871484229156
2,5,C4_trees,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.24992743307425283
2,5,C5_fixed_mlp,49,0.042063492063492136,0.9577464788732394,0.9968253968253968,0.08512233315014409
2,5,C6_fair_nas,63,0.042063492063492136,0.9577464788732394,0.9968253968253968,0.06845650862464549
3,0,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,0,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,0,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,0,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,0,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
